project_accession,species_latin_name,species_common_name,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,assigned_locality_text,locality_resolution_status,assigned_locality_class,normalized_display_spelling,geocoding_safe_token,site_name,municipality_name,region_name,country_name,broader_geography,evidence_source_surface,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,locality_evidence_bucket,review_note
PRJNA1178732,Felis catus,cat,prjna1178732:fs1,FS1,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row4,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs20,FS20,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zheng and Han City,direct_sample_site,excavation_site,Zheng and Han City,zhengandhancity,Zheng and Han City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row21,FS20 | Zheng and Han City | Xinzheng Henan | Cental China | China | 0.05 | 10271 | 16694 | 98.147999999999996 | 99.159800000000004 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,,,,960 - 1368 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs21,FS21,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zheng and Han City,direct_sample_site,excavation_site,Zheng and Han City,zhengandhancity,Zheng and Han City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row22,FS21 | Zheng and Han City | Xinzheng Henan | Cental China | China | 10.24 | 19562 | 16708 | 98.236999999999995 | 77.610699999999994 | 115273634 | 3.2320600000000002 | 95137 | 960 - 1368 CE | Ⅳ-B | Felis catus,,,,960 - 1368 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs22,FS22,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zheng and Han City,direct_sample_site,excavation_site,Zheng and Han City,zhengandhancity,Zheng and Han City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row23,FS22 | Zheng and Han City | Xinzheng Henan | Cental China | China | 0.1 | 25761 | 16593 | 97.554199999999994 | 59.579300000000003 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,,,,960 - 1368 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs23,FS23,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zheng and Han City,direct_sample_site,excavation_site,Zheng and Han City,zhengandhancity,Zheng and Han City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row24,FS23 | Zheng and Han City | Xinzheng Henan | Cental China | China | 3.42 | 13341 | 17009 | 100 | 304.291 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,,,,960 - 1368 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs24,FS24,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Han Chang'an City,direct_sample_site,excavation_site,Han Chang'an City,hanchangancity,Han Chang'an City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row25,FS24 | Han Chang'an City | Xi'an Shaanxi | Cental China | China | 2.7 | 20836 | 16617 | 99.497 | 90.849299999999999 | N/A | N/A | N/A | 44 cal. BCE - 76 cal. CE  | PBE-Indochina | Prionailurus bengalensis,,,,44 cal. BCE - 76 cal. CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs3,FS3,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row6,FS3 | Xitucheng City | Zhangjiakou Hebei | North China | China | 11.4 | 11063 | 16473 | 96.848699999999994 | 34.703499999999998 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs4,FS4,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row7,FS4 | Xitucheng City | Zhangjiakou Hebei | North China | China | 10.69 | 15936 | 16570 | 97.418999999999997 | 59.871200000000002 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs5,FS5,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row8,FS5 | Xitucheng City | Zhangjiakou Hebei | North China | China | 11.2 | 29916 | 16769 | 98.588999999999999 | 39.218200000000003 | N/A | N/A | N/A | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs6,FS6,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xinxiang Song Tomb,direct_sample_site,excavation_site,Xinxiang Song Tomb,xinxiangsongtomb,Xinxiang Song Tomb,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row9,FS6 | Xinxiang Song Tomb | Xinxiang Henan | Central China | China | 0.34 | 15982 | 16961 | 99.717799999999997 | 112.491 | N/A | N/A | N/A | 960 - 1127 CE | Ⅳ-B | Felis catus,,,,960 - 1127 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs7,FS7,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Huoshiliang,direct_sample_site,excavation_site,Huoshiliang,huoshiliang,Huoshiliang,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row10,FS7 | Huoshiliang | Yulin Shaanxi | West China | China | 0.91 | 17321 | 16730 | 99.53 | 16.912700000000001 | N/A | N/A | N/A | 1800 BCE | Felis.s.ornata | Felis ornata,,,,1800 BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs8,FS8,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Wuzhuangguoliang,direct_sample_site,excavation_site,Wuzhuangguoliang,wuzhuangguoliang,Wuzhuangguoliang,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row11,FS8 | Wuzhuangguoliang | Jingbian Shaanxi | West China | China | 8.76 | 9870 | 16416 | 98.293499999999995 | 47.324399999999997 | 153959749 | 5.9626900000000003 | 17194519 | 3000 - 221 BCE | PBE-RFE | Prionailurus bengalensis,,,,3000 - 221 BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
