project_accession,species_latin_name,species_common_name,site_label,original_place_text,resolved_place_text,political_entity,source_artifact_path,source_locator,coordinate_basis,mapping_posture,latitude_text,longitude_text,geocoding_method,geocoder_or_gazetteer,confidence_rationale,coordinate_confidence,paper_doi,paper_url,supplementary_source,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB31613,Equus caballus,horse,Batagai,Batagai,Batagai,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row24,supplementary_table_coordinates,mappable_point,67.566666699999999,134.766666666666,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,5155 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Bateni,Bateni,Bateni,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row25,supplementary_table_coordinates,mappable_point,54.623611099999998,90.944999999999993,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,3318 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Beauvais, VIlliers-de-l'Isle Adam","Beauvais, VIlliers-de-l'Isle Adam","Beauvais, VIlliers-de-l'Isle Adam",France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row28,supplementary_table_coordinates,mappable_point,49.415371,2.1013069999999998,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,417-517 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Beauvais, la Maladrerie Saint-Lazare","Beauvais, la Maladrerie Saint-Lazare","Beauvais, la Maladrerie Saint-Lazare",France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row27,supplementary_table_coordinates,mappable_point,49.415371,2.1013069999999998,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,317-517 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Belgheis,Belgheis,Belgheis,Iran,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row29,supplementary_table_coordinates,mappable_point,37.042453100000003,57.471565200000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,485 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Belkaragay,Belkaragay,Belkaragay,Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row30,supplementary_table_coordinates,mappable_point,51.52,62.55,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Berel',Berel',Berel',Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row32,supplementary_table_coordinates,mappable_point,49.3737353,86.427292199999997,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2300 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Berufjordur,Berufjordur,Berufjordur,Iceland,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row43,supplementary_table_coordinates,mappable_point,65.53,-22.117000000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,917-1217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Borly 4,Borly 4,Borly 4,Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row46,supplementary_table_coordinates,mappable_point,52.287303199999997,76.967402300000003,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4974 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Botai,Botai,Botai,Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row72,supplementary_table_coordinates,mappable_point,53.303942399999997,67.645786400000006,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4692 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Boves, chemin de Glisy","Boves, chemin de Glisy","Boves, chemin de Glisy",France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row78,supplementary_table_coordinates,mappable_point,49.853433899999999,2.3969306000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1617-1817 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Boz-Adyr,Boz-Adyr,Boz-Adyr,Kyrgyzstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row80,supplementary_table_coordinates,mappable_point,39.998333299999999,71.073333300000002,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Brough Of Deerness,Brough Of Deerness,Brough Of Deerness,United Kingdom,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row81,supplementary_table_coordinates,mappable_point,58.964098999999997,-2.704933,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1317-1517 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Bruszcewo,Bruszcewo,Bruszcewo,Poland,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row85,supplementary_table_coordinates,mappable_point,52.006999999999998,16.562000000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,3617-4217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Camino de las Yeseras, Madrid","Camino de las Yeseras, Madrid","Camino de las Yeseras, Madrid",Spain,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row86,supplementary_table_coordinates,mappable_point,40.442100000000003,-3.4940799999999999,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4496-4861 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Cantorella,Cantorella,Cantorella,Spain,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row87,supplementary_table_coordinates,mappable_point,41.552778000000004,1.039444,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4791 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Capesterre-Belle-Eau,Capesterre-Belle-Eau,Capesterre-Belle-Eau,Guadeloupe (France),data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row88,supplementary_table_coordinates,mappable_point,16.049578,-61.569156,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,317-517 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Capote,Capote,Capote,Spain,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row89,supplementary_table_coordinates,mappable_point,38.098281100000001,-6.6931940000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2117-2217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Chartres, boulevard de la Courtille","Chartres, boulevard de la Courtille","Chartres, boulevard de la Courtille",France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row91,supplementary_table_coordinates,mappable_point,48.442396000000002,1.494154,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1917 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Dariali, Tamara Fort","Dariali, Tamara Fort","Dariali, Tamara Fort",Georgia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row117,supplementary_table_coordinates,mappable_point,42.740163709999997,44.620164189999997,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,17-617 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Derkul,Derkul,Derkul,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row115,supplementary_table_coordinates,mappable_point,51.16,51.17,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Dunaújváros,Dunaújváros,Dunaújváros,Hungary,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row118,supplementary_table_coordinates,mappable_point,46.961905899999998,18.9355227,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4077 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,El Acequión,El Acequión,El Acequión,Spain,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row119,supplementary_table_coordinates,mappable_point,39.024444000000003,-2.0280559999999999,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,4058 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Els Vilars,Els Vilars,Els Vilars,Spain,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row121,supplementary_table_coordinates,mappable_point,41.57,0.95,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2672 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,"Evreux, Clos-au-Duc","Evreux, Clos-au-Duc","Evreux, Clos-au-Duc",France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row124,supplementary_table_coordinates,mappable_point,49.019638499999999,1.1589729,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1717-1917 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Fengtai,Fengtai,Fengtai,China,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row127,supplementary_table_coordinates,mappable_point,36.8406667,101.9584722,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2820 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Frankfurt-Heddenheim,Frankfurt-Heddenheim,Frankfurt-Heddenheim,Germany,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row129,supplementary_table_coordinates,mappable_point,50.161262499999999,8.6424693000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1863 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Fresnes-lès-Montauban,Fresnes-lès-Montauban,Fresnes-lès-Montauban,France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row128,supplementary_table_coordinates,mappable_point,48.442396000000002,1.494154,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1872 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Garbovat,Garbovat,Garbovat,Romania,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row130,supplementary_table_coordinates,mappable_point,44.866990000000001,22.0079387,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,3574 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Gol Mod II,Gol Mod II,Gol Mod II,Mongolia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row131,supplementary_table_coordinates,mappable_point,48.017777780000003,101.3533333,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2007 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Goyet,Goyet,Goyet,Belgium,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row137,supplementary_table_coordinates,mappable_point,50.446669999999997,5.0091099999999997,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Granastaðir,Granastaðir,Granastaðir,Iceland,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row141,supplementary_table_coordinates,mappable_point,65.268000000000001,-18.239999999999998,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,917-1217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Gregorevka 4,Gregorevka 4,Gregorevka 4,Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row142,supplementary_table_coordinates,mappable_point,52.629089999999998,76.738793999999999,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1192 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Halvai 3,Halvai 3,Halvai 3,Kazakhstan,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row144,supplementary_table_coordinates,mappable_point,52.843000000000004,62.902900000000002,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2217-2867 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
