species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 9,,,BH 9,BH 9,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row169,157 | Barcın Höyük | BH 9 | 33417 | 6500-6400 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6500-6400 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh11,,,BH11,BH11,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row101,89 | Barcın Höyük | BH11 | 31547 | 6300-6200 BCE | 3 | A,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh12,,,BH12,BH12,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row85,73 | Barcın Höyük | BH12 | 26485 | 6300-6200 BCE | 3 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh14,,,BH14,BH14,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row86,74 | Barcın Höyük | BH14 | 30790 | 6300-6200 BCE | 3 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh15,,,BH15,BH15,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row87 || Sheet1!row6,75 | Barcın Höyük | BH15 | 30418 | 6500-6400 BCE | 2 | B || 4 | Barcın Höyük | bhs015 | BH15 | 30418 | 24854171 | 3753 | 3.6999999999999999E-4 | 69 | 8.8999999999999995E-5 | 1.26E-2,final,,Barcın Höyük,,,,6500-6400 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh16,,,BH16,BH16,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row88,76 | Barcın Höyük | BH16 | 26474 | 6300-6200 BCE | 3 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh17,,,BH17,BH17,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row89,77 | Barcın Höyük | BH17 | 37302 | 6300-6200 BCE | 3 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh19,,,BH19,BH19,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row90,78 | Barcın Höyük | BH19 | 37301 | 6500-6400 BCE | 2 | B,final,,Barcın Höyük,,,,6500-6400 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh2,,,BH2,BH2,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row91,79 | Barcın Höyük | BH2 | 26477 | 6500-6400 BCE | 2 | B,final,,Barcın Höyük,,,,6500-6400 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh20,,,BH20,BH20,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row92,80 | Barcın Höyük | BH20 | 37303 | 6500-6300 BCE | 2 | B,final,,Barcın Höyük,,,,6500-6300 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh24,,,BH24,BH24,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row93,81 | Barcın Höyük | BH24 | 37339 | 6300-6200 BCE | 2 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh26,,,BH26,BH26,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row94,82 | Barcın Höyük | BH26 | 26488 | 6300-6100 BCE | 2 | B,final,,Barcın Höyük,,,,6300-6100 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh27,,,BH27,BH27,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row95,83 | Barcın Höyük | BH27 | 31319 | 6500-6300 BCE | 3 | B,final,,Barcın Höyük,,,,6500-6300 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh3,,,BH3,BH3,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row96 || Sheet1!row3,84 | Barcın Höyük | BH3 | 26484 | 6300-6100 BCE | 3 | B || 1 | Barcın Höyük | bhs003 | BH3 | 26484 | 14285758 | 778 | 2.3000000000000001E-4 | 81.400000000000006 | 2.1999999999999999E-5 | 3.7000000000000002E-3,final,,Barcın Höyük,,,,6300-6100 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh32,,,BH32,BH32,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row97,85 | Barcın Höyük | BH32 | 37084 | 6300-6200 BCE | 2 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh35,,,BH35,BH35,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row103,91 | Barcın Höyük | BH35 | 37306 | 6500-6400 BCE | 1 | B,final,,Barcın Höyük,,,,6500-6400 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh41,,,BH41,BH41,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row98,86 | Barcın Höyük | BH41 | 37078 | 6300-6200 BCE | 3 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh6,,,BH6,BH6,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row99,87 | Barcın Höyük | BH6 | 31083 | 6300-6200 BCE | 2 | B,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh7,,,BH7,BH7,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row100 || Sheet1!row5,88 | Barcın Höyük | BH7 | 31183 | 6300-6200 BCE | 2 | B || 3 | Barcın Höyük | bhs007 | BH7 | 31183 | 10764539 | 10279 | 1.5900000000000001E-3 | 58.5 | 2.02E-4 | 5.0000000000000001E-3,final,,Barcın Höyük,,,,6300-6200 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh8,,,BH8,BH8,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row102,90 | Barcın Höyük | BH8 | 26486 | 6300-6100 BCE | 1 | B,final,,Barcın Höyük,,,,6300-6100 BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bk1,,,BK1,BK1,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row11,9 | Boncuklu Höyük | BK1 | 9318 | 8400-7800 cal BCE | 1 | B,final,,Boncuklu Höyük,,,,8400-7800 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bk2,,,BK2,BK2,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row113,101 | Boncuklu Höyük | BK2 | 2540 | 8400-7800 cal BCE | N/A | N/A,final,,Boncuklu Höyük,,,,8400-7800 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bk3,,,BK3,BK3,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row12,10 | Boncuklu Höyük | BK3 | NAE 2945 | 8400-7800 cal BCE | 2 | B,final,,Boncuklu Höyük,,,,8400-7800 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bk4,,,BK4,BK4,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row114,102 | Boncuklu Höyük | BK4 | 4386 | 8400-7800 cal BCE | N/A | N/A,final,,Boncuklu Höyük,,,,8400-7800 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bk5,,,BK5,BK5,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row115,103 | Boncuklu Höyük | BK5 | 4370 | 8400-7800 cal BCE | N/A | N/A,final,,Boncuklu Höyük,,,,8400-7800 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:ch1,,,CH1,CH1,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row13,11 | Canhasan III Höyüğü | CH1 | 49F BONE ID 142 | 7400-7100 cal BCE | 2 | B,final,,Canhasan III Höyüğü,,,,7400-7100 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:ch2,,,CH2,CH2,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row14,12 | Canhasan III Höyüğü | CH2 | 49L BONE ID 137 | 7400-7100 cal BCE | 2 | B,final,,Canhasan III Höyüğü,,,,7400-7100 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:ch3,,,CH3,CH3,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row15,13 | Canhasan III Höyüğü | CH3 | 49T BONE ID 087 | 7400-7100 cal BCE | 2 | B,final,,Canhasan III Höyüğü,,,,7400-7100 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:ch4,,,CH4,CH4,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row16,14 | Canhasan III Höyüğü | CH4 | BONE ID 150 | 7400-7100 cal BCE | 1 | A,final,,Canhasan III Höyüğü,,,,7400-7100 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:ch5,,,CH5,CH5,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row17,15 | Canhasan III Höyüğü | CH5 | BONE ID 014 | 7400-7100 cal BCE | 1 | B,final,,Canhasan III Höyüğü,,,,7400-7100 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:pb10,,,PB10,PB10,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row7,5 | Pınarbaşı Höyük | PB10 | BBH 10208 | 6500-6000 cal BCE | 2 | D,final,,Pınarbaşı Höyük,,,,6500-6000 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:pb12,,,PB12,PB12,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row8,6 | Pınarbaşı Höyük | PB12 | BBH 10025 | 6500-6000 cal BCE | 2 | B,final,,Pınarbaşı Höyük,,,,6500-6000 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:pb13,,,PB13,PB13,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row105,93 | Pınarbaşı Höyük | PB13 | 10015 | 10./9. M cal BCE | N/A | N/A,final,,Pınarbaşı Höyük,,,,10./9. M cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:pb14,,,PB14,PB14,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row106,94 | Pınarbaşı Höyük | PB14 | 9355 | 10./9. M cal BCE | N/A | N/A,final,,Pınarbaşı Höyük,,,,10./9. M cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:pb15,,,PB15,PB15,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row107,95 | Pınarbaşı Höyük | PB15 | 9354 | 10./9. M cal BCE | N/A | N/A,final,,Pınarbaşı Höyük,,,,10./9. M cal BCE
