locality,locality_token,profile_name,ranking_status,total_score,evidence_density_signal,chronology_alignment_signal,species_diversity_signal,contextual_support_signal,missingness_penalty,direct_sample_count,distinct_species_count,nearby_context_points,nearby_context_layer_count,temporal_overlap_points,sampling_recommendation_ready,recommendation_posture,ranking_blockers,recommendation_blockers,warning_flags,rationale
Oland,homo_sapiens:aadr:sweden:oland:56-8792364-16-7212765,atlas_exploration,downgraded,0.5735,0.9025,0.5,0.3467,0.8228,0.165,32,1,24,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 32 direct ancient-DNA samples support 1 species at this locality anchor | 24 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8228 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Kopparsvik (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:kopparsvik-gotlands-l-n-gotland:57-63-18-28,atlas_exploration,downgraded,0.5708,0.9025,0.5,0.3467,0.8151,0.165,22,1,47,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 22 direct ancient-DNA samples support 1 species at this locality anchor | 47 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8151 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Västerbjers (Gotland, Gothem parish)",homo_sapiens:aadr:sweden:v-sterbjers-gotland-gothem-parish:57-58-18-7,atlas_exploration,downgraded,0.5689,0.9025,0.5,0.3467,0.8095,0.165,15,1,34,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 34 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8095 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Kopenhagen (Zealand Region),homo_sapiens:aadr:denmark:kopenhagen-zealand-region:55-675268-12-568294,atlas_exploration,downgraded,0.5667,0.9025,0.5,0.3467,0.8033,0.165,15,1,16,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 16 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8033 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Albäcksbacken Maglarp (Southern Sweden/ Skåne),homo_sapiens:aadr:sweden:alb-cksbacken-maglarp-southern-sweden-sk-ne:55-37774-13-095066,atlas_exploration,downgraded,0.5653,0.9025,0.5,0.3467,0.7993,0.165,15,1,58,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 58 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7993 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Sandby Borg (Kalmar län, Mörbylånga)",homo_sapiens:aadr:sweden:sandby-borg-kalmar-l-n-m-rbyl-nga:56-55-16-63,atlas_exploration,downgraded,0.5629,0.9025,0.5,0.3467,0.7925,0.165,7,1,34,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 34 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7925 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Kronan (Kalmar län, Mörbylånga)",homo_sapiens:aadr:sweden:kronan-kalmar-l-n-m-rbyl-nga:56-4-16-6,atlas_exploration,downgraded,0.5579,0.9025,0.5,0.3467,0.7782,0.165,12,1,20,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 12 direct ancient-DNA samples support 1 species at this locality anchor | 20 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7782 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Alken_Enge (Jutland),homo_sapiens:aadr:denmark:alken-enge-jutland:56-049-9-852,atlas_exploration,downgraded,0.5562,0.9025,0.5,0.3467,0.7734,0.165,14,1,15,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 14 direct ancient-DNA samples support 1 species at this locality anchor | 15 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7734 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Lillevasby (Zealand),homo_sapiens:aadr:denmark:lillevasby-zealand:55-6691502-12-2092259,atlas_exploration,downgraded,0.5558,0.9025,0.5,0.3467,0.7722,0.165,14,1,17,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 14 direct ancient-DNA samples support 1 species at this locality anchor | 17 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7722 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Sigtuna, church 1 (St Gertrud)",homo_sapiens:aadr:sweden:sigtuna-church-1-st-gertrud:59-617314-17-72361,atlas_exploration,downgraded,0.5534,0.9025,1.0,0.3467,0.7368,0.255,9,1,35,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 9 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 1 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7368 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Kanaljorden (Östergötlands län, Motala)",homo_sapiens:aadr:sweden:kanaljorden-sterg-tlands-l-n-motala:58-535-15-046,atlas_exploration,downgraded,0.5529,0.9025,1.0,0.3467,0.7353,0.255,8,1,29,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 29 nearby context points across 1 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7353 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
Ahlgade 15-17 (Holbæk),homo_sapiens:aadr:denmark:ahlgade-15-17-holb-k:55-72-11-71,atlas_exploration,downgraded,0.5469,0.9025,0.5,0.3467,0.7467,0.165,25,1,10,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 25 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7467 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Vasterhus (Jämtlands län, Östersund)",homo_sapiens:aadr:sweden:vasterhus-j-mtlands-l-n-stersund:63-2-14-5,atlas_exploration,downgraded,0.5466,0.9025,1.0,0.3467,0.7172,0.255,7,1,35,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 1 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7172 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
Simonsborg (Zealand/ Alsted),homo_sapiens:aadr:denmark:simonsborg-zealand-alsted:55-40315-11-66018,atlas_exploration,downgraded,0.5406,0.9025,0.5,0.3467,0.7287,0.165,21,1,10,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 21 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7287 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Olljso (Skåne län, Kristianstad)",homo_sapiens:aadr:sweden:olljso-sk-ne-l-n-kristianstad:56-014689-14-068039,atlas_exploration,downgraded,0.5402,0.6525,0.5,0.3467,0.9775,0.165,3,1,46,4,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 3 direct ancient-DNA samples support 1 species at this locality anchor | 46 nearby context points across 4 context layers shape the support surface | score families: evidence=0.6525; chronology=0.5000; species=0.3467; context=0.9775 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Karlstrup (Sjælland, Solrød)",homo_sapiens:aadr:denmark:karlstrup-sj-lland-solr-d:55-55-12-209,atlas_exploration,downgraded,0.533,0.9025,0.5,0.3467,0.707,0.165,6,1,10,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7070 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Henriksholm-Bøgebakken (Zealand Region, Vedbæk)",homo_sapiens:aadr:denmark:henriksholm-b-gebakken-zealand-region-vedb-k:55-853-12-559,atlas_exploration,downgraded,0.5315,0.8192,0.5,0.3467,0.786,0.165,5,1,29,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 29 nearby context points across 2 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.7860 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Lejre (Zealand Region),homo_sapiens:aadr:denmark:lejre-zealand-region:55-6-11-95,atlas_exploration,downgraded,0.5297,0.8192,0.5,0.3467,0.781,0.165,5,1,12,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 12 nearby context points across 2 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.7810 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Hesselbjerg (Jutland Region),homo_sapiens:aadr:denmark:hesselbjerg-jutland-region:55-95-10-2,atlas_exploration,downgraded,0.5295,0.9025,0.5,0.3467,0.697,0.165,8,1,7,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 7 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.6970 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Asnæs (Zealand),homo_sapiens:aadr:denmark:asn-s-zealand:55-81508-11-50296,atlas_exploration,downgraded,0.5267,0.9025,0.5,0.3467,0.689,0.165,11,1,8,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 11 direct ancient-DNA samples support 1 species at this locality anchor | 8 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.6890 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Gökhem (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:go-khem-v-stra-g-talands-l-n-falk-ping:58-174-13-408,atlas_exploration,downgraded,0.5258,0.7358,1.0,0.3467,0.8247,0.255,4,1,20,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 20 nearby context points across 2 context layers shape the support surface | score families: evidence=0.7358; chronology=1.0000; species=0.3467; context=0.8247 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
Bakkendrup (Zealand Region),homo_sapiens:aadr:denmark:bakkendrup-zealand-region:55-56-11-25,atlas_exploration,downgraded,0.5255,0.9025,0.5,0.3467,0.6857,0.165,7,1,7,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 7 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.6857 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Mosede Fort (Zealand),homo_sapiens:aadr:denmark:mosede-fort-zealand:55-5644395-12-2745516,atlas_exploration,downgraded,0.5214,0.9025,0.5,0.3467,0.6738,0.165,12,1,10,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 12 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.6738 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Hindby mosse (Skåne län, Malmö)",homo_sapiens:aadr:sweden:hindby-mosse-sk-ne-l-n-malm:55-565-13-036,atlas_exploration,downgraded,0.5163,0.6525,0.5,0.3467,0.9092,0.165,3,1,103,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 3 direct ancient-DNA samples support 1 species at this locality anchor | 103 nearby context points across 3 context layers shape the support surface | score families: evidence=0.6525; chronology=0.5000; species=0.3467; context=0.9092 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Lundbjerggård (Zealand/ Region Hovedstaden),homo_sapiens:aadr:denmark:lundbjergg-rd-zealand-region-hovedstaden:55-6272-12-1338,atlas_exploration,downgraded,0.5124,0.8192,0.5,0.3467,0.7315,0.165,5,1,12,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 12 nearby context points across 2 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.7315 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Vindinge Vest I&II (Zealand/ Region Hovedstaden),homo_sapiens:aadr:denmark:vindinge-vest-i-ii-zealand-region-hovedstaden:55-624-12-1303,atlas_exploration,downgraded,0.5113,0.8192,0.5,0.3467,0.7282,0.165,5,1,12,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 12 nearby context points across 2 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.7282 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Galgedil (Funen Region),homo_sapiens:aadr:denmark:galgedil-funen-region:55-5-10-33,atlas_exploration,downgraded,0.5048,0.9025,0.5,0.3467,0.6265,0.165,16,1,5,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 16 direct ancient-DNA samples support 1 species at this locality anchor | 5 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.6265 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Gerdrup (Zealand Region),homo_sapiens:aadr:denmark:gerdrup-zealand-region:55-73-12-12,atlas_exploration,downgraded,0.5037,0.7358,0.5,0.3467,0.79,0.165,4,1,14,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 14 nearby context points across 2 context layers shape the support surface | score families: evidence=0.7358; chronology=0.5000; species=0.3467; context=0.7900 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Sigtuna, cemetery 1 (Nunnnan)",homo_sapiens:aadr:sweden:sigtuna-cemetery-1-nunnnan:59-61731-17-72361,atlas_exploration,downgraded,0.4951,0.7358,1.0,0.3467,0.7368,0.255,4,1,35,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 1 context layers shape the support surface | score families: evidence=0.7358; chronology=1.0000; species=0.3467; context=0.7368 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Sigtuna, cemetery 4 (Bensinst )",homo_sapiens:aadr:sweden:sigtuna-cemetery-4-bensinst:59-617313-17-72361,atlas_exploration,downgraded,0.4951,0.7358,1.0,0.3467,0.7368,0.255,4,1,35,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 1 context layers shape the support surface | score families: evidence=0.7358; chronology=1.0000; species=0.3467; context=0.7368 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
