locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
"Sandby Borg (Kalmar län, Mörbylånga)",56.55,16.63,7,1447,1503,1475,1447-1503 BP,"1240k,ho",snb010.SG;snb012.SG;snb013.SG;snb014.SG;snb017.SG;snb018.SG;snb019.SG
"Stora-Karlsö (Gotlands län, Gotland)",57.287,18.206,7,4027,7501,5764,4027-7501 BP,"1240k,ho",Ajvide52.SG;Ajvide53.SG;Ajvide58.SG;Ajvide59.SG;Ajvide70.SG;Ire8.SG;StoraForvar11.SG
"Vasterhus (Jämtlands län, Östersund)",63.2,14.5,7,626,974,800,626-974 BP,"1240k,ho",wes001.SG;wes003.SG;wes004.SG;wes005.SG;wes007.SG;wes008.SG;wes056.SG
"Ansarve (Gotland County, Tofta area)",57.509,18.14,6,4563,5601,5082,4563-5601 BP,"1240k,ho",ans003.SG;ans005.SG;ans008.SG;ans014.SG;ans016.SG;ans017.SG
"Karda (Jönköpings län, Värnamo)",57.18,13.93,6,826,1174,1000,826-1174 BP,"1240k,ho",VK265.SG;VK266.SG;VK267.SG;VK268.SG;VK269.SG;VK270.SG
"Nästegården (Västra Götalands län, Falköping)",58.1544,13.5222,6,3530,4128,3829,3530-4128 BP,"1240k,ho",CGG106007.SG;NAS001.SG;NAS002.SG;NAS003.SG;NAS004.SG;NAS005.SG
"Alsike (Uppsala län, Knivsta)",59.8,17.8,4,947,1403,1175,947-1403 BP,"1240k,ho",als001.SG;als007.SG;als010.SG;als015.SG
"Gökhem (Västra Götalands län, Falköping)",58.174,13.408,4,4597,5308,4952,4597-5308 BP,"1240k,ho",Gokhem2.SG;Gokhem4.SG;Gokhem5.SG;Gokhem7.SG
"Sigtuna, cemetery 1 (Nunnnan)",59.61731,17.72361,4,726,1175,950,726-1175 BP,"1240k,ho",vik_84001.SG;vik_84005.SG;vik_84035.SG;vik_nuf002.SG
"Sigtuna, cemetery 4 (Bensinst )",59.617313,17.72361,4,726,1074,900,726-1074 BP,"1240k,ho",vik_2072.SG;vik_bns023.SG;vik_gtm021.SG;vik_gtm127.SG
"Ajvide Settlement (Gotland, Eksta)",57.281086,18.169117,3,4735,5022,4878,4735-5022 BP,"1240k,ho",ajv28.SG;ajv36.SG;ajv54.SG
"Hemmor (Gotland, När parish)",57.22,18.57,3,4821,5348,5084,4821-5348 BP,"1240k,ho",hem001.SG;hem004.SG;hem005.SG
"Hindby mosse (Skåne län, Malmö)",55.565,13.036,3,4957,5289,5123,4957-5289 BP,"1240k,ho",NEO36.SG;NEO38.SG;NEO39.SG
"Olljso (Skåne län, Kristianstad)",56.014689,14.068039,3,3574,4809,4192,3574-4809 BP,"1240k,ho",oll007.SG;oll009.SG;oll010.SG
"Sigtuna, mass grave (St  Lars)",59.617315,17.72361,3,726,1074,900,726-1074 BP,"1240k,ho",vik_97002.SG;vik_97026.SG;vik_97029.SG
"Stora Förvar (Gotland, Eksta socken, Stora Karlsö)",57.285,17.971,3,8735,9324,9030,8735-9324 BP,"1240k,ho",SF11.SG;SF12.SG;SF9.SG
"Abekås I (Skåne County, Skurup Municipality)",55.397,13.6,2,3113,3953,3533,3113-3953 BP,"1240k,ho",RISE175.SG;RISE179.SG
"Bergsgraven (Östergötlands län, Linköping)",58.415833,15.625278,2,4386,4598,4492,4386-4598 BP,"1240k,ho",ber1.SG;ber2.SG
"Gorla (Stockholms län, Norrtälje)",59.7,18.7,2,715,1235,975,715-1235 BP,"1240k,ho",gor164.SG;gor358.SG
"Hunnebostrand (Västra Götaland County, Sotenäs Municipality)",58.4384,11.3007,2,4973,5398,5186,4973-5398 BP,"1240k,ho",HUN001_Sweden.SG;HUN002.SG
"Ljungbacka (Skåne län, Vellinge)",55.54,13.05,2,720,1180,950,720-1180 BP,"1240k,ho",VK108.SG;VK217.SG
"Romback (Västernorrlands län, Ånge)",62.5,16.3,2,1447,1503,1475,1447-1503 BP,"1240k,ho",rtp001.SG;rtp003.SG
"Sigtuna, cemetery 3 (Kållandet)",59.617312,17.72361,2,726,1074,900,726-1074 BP,"1240k,ho",vik_KAL006.SG;vik_kal009.SG
"Skomsta (Uppsala län, Uppsala)",59.86,17.65,2,842,958,900,842-958 BP,"1240k,ho",VK517.SG;VK527.SG
"Ängamöllan (Skåne län, Kristianstad)",55.997,14.104,2,3224,3436,3330,3224-3436 BP,"1240k,ho",RISE207.SG;RISE210.SG
Assleröd (Western Sweden/ Bohuslän),58.4172,11.3251,1,3653,5037,4345,3653-5037 BP,"1240k,ho",CGG_2_106210.SG
Bengtstorp (Oland),56.514,16.439,1,2612,3188,2900,2612-3188 BP,"1240k,ho",CGG_2_024147.SG
"Bredgården (Västra Götalands län, Ulricehamn)",57.742,13.403,1,9498,9798,9648,9498-9798 BP,"1240k,ho",NEO27.SG
"Dösemarken (Skåne län, Malmö)",55.564,12.946,1,4323,4459,4391,4323-4459 BP,"1240k,ho",NEO44.SG
"Eksta Kvie (Gotlands län, Gotland)",57.47,18.47,1,881,1169,1025,881-1169 BP,"1240k,ho",kvi001.SG
"Enbacken (Örebro län, Örebro)",59.37,15.22,1,839,1011,925,839-1011 BP,"1240k,ho",enb508.SG
"Evensås (Västra Götalands län, Uddevalla)",58.246,11.492,1,5938,6086,6012,5938-6086 BP,"1240k,ho",NEO260.SG
"Firse sten (Västra Götalands län, Falköping, Falbygden)",58.1531,13.5686,1,2943,3119,3031,2943-3119 BP,"1240k,ho",FIR001.SG
"Fredriksberg (Skåne län, Malmö)",55.557,13.059,1,3799,3991,3895,3799-3991 BP,"1240k,ho",RISE97.SG
"Frösön (Jämtlands län, Östersund)",63.19,14.53,1,784,1016,900,784-1016 BP,"1240k,ho",frc007.SG
"Fullero (Uppsala län, Uppsala)",59.94,17.66,1,1555,1719,1637,1555-1719 BP,"1240k,ho",ful001.SG
"Gammelbyn Börstil (Uppsala län, Östhammar)",60.24,18.34,1,839,1011,925,839-1011 BP,"1240k,ho",gam872.SG
"Gannor (Gotlands län, Gotland)",57.3,18.6,1,857,1493,1175,857-1493 BP,"1240k,ho",lau001.SG
"Hablingbo Havor (Gotlands län, Gotland)",57.470001,18.47,1,842,958,900,842-958 BP,"1240k,ho",hav001.SG
"Hanaskede (Västra Götalands län, Skara)",58.391,13.558,1,9650,10010,9830,9650-10010 BP,"1240k,ho",NEO18.SG
"Holma (Västra Götalands län, Falköping, Falbygden)",58.1498,13.6392,1,4582,4878,4730,4582-4878 BP,"1240k,ho",HOL001_Sweden.SG
"Hälsingland (Gävleborgs län, Hudiksvall)",61.658,17.004,1,4056,4556,4306,4056-4556 BP,"1240k,ho",Olsund_new.AG
Höja gård (Southern Sweden/ Skåne),55.58,13.069,1,1639,2231,1935,1639-2231 BP,"1240k,ho",CGG_2_015491.SG
"Kastanjegården (Skåne län, Malmö)",55.555,13.023,1,4324,4404,4364,4324-4404 BP,"1240k,ho",NEO51.SG
"L Beddinge 56 (Skåne län, Trelleborg)",55.381,13.445,1,3958,4206,4082,3958-4206 BP,"1240k,ho",RISE98.SG
Lilla_Smedby (Oland),56.415,16.433,1,1474,1990,1732,1474-1990 BP,"1240k,ho",CGG_2_024146.SG
"Lovö (Stockholms län, Ekerö)",59.33,17.84,1,1392,1508,1450,1392-1508 BP,"1240k,ho",lov001.SG
Mörbylånga (Oland),56.505,16.429,1,1323,1759,1541,1323-1759 BP,"1240k,ho",CGG_2_024144.SG
"Norrsunda (Stockholms län, Sigtuna)",59.59,17.89,1,742,970,856,742-970 BP,"1240k,ho",vls696.SG
"Oxie 7 (Skåne län, Vellinge)",55.545,13.098,1,1303,1507,1405,1303-1507 BP,"1240k,ho",RISE174.SG
"Sala (Västmanlands län, Sala)",59.9,16.6,1,947,1003,975,947-1003 BP,"1240k,ho",sal002.SG
"Sasta (Stockholms län, Täby)",59.44,18.07,1,715,1235,975,715-1235 BP,"1240k,ho",bro100.SG
"Sigtuna (Stockholms län, Upplands-Bro)",59.6,17.7,1,909,1069,989,909-1069 BP,"1240k,ho",stg018.SG
"Sigtuna, cemetery 2 (Kålsängen)",59.617311,17.72361,1,726,1074,900,726-1074 BP,"1240k,ho",vik_kls001.SG
"Sillvik (Västra Götalands län, Gothenburg)",57.736,11.744,1,3892,4040,3966,3892-4040 BP,"1240k,ho",NEO261.SG
"Skateholm-1 (Skåne län, Trelleborg)",55.386,13.481,1,6722,7002,6862,6722-7002 BP,"1240k,ho",NEO679.SG
"Skåne (Gävleborgs län, Hudiksvall)",61.658497,17.003742,1,5574,5918,5746,5574-5918 BP,"1240k,ho",Kvarlov5164.AG
"Stora Bjers (Gotland, Stenkyrka)",57.792,18.538,1,8549,8993,8771,8549-8993 BP,"1240k,ho",SBj.SG
Sörby_Störlinge (Oland),56.806,16.73,1,1520,2008,1764,1520-2008 BP,"1240k,ho",CGG_2_024145.SG
"Vattenledningen (Skåne län, Vellinge)",55.503,13.009,1,3703,3863,3783,3703-3863 BP,"1240k,ho",NEO52.SG
Vendel (Uppsala),60.16,17.59,1,1292,1408,1350,1292-1408 BP,"1240k,ho",ven001_viking.SG
"Viby (Skåne län, Kristianstad)",56.025,14.233,1,4391,4583,4487,4391-4583 BP,"1240k,ho",RISE94.SG
"Ängdala (Skåne län, Malmö)",55.588,13.113,1,5545,5673,5609,5545-5673 BP,"1240k,ho",NEO46.SG
