source_family,project_accession,metadata_url,result_kind,archive_status,evidence_strength,access_policy,species_latin_names,species_count
ENA,PRJEB59481,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB59481&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Ovis aries,1
ENA,PRJEB60484,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB60484&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,comparator_only,primary_paper_pinned,public_downloadable,Rangifer tarandus,1
ENA,PRJEB61721,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61721&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,reject_or_out_of_scope,archive_only,public_downloadable,Rangifer tarandus,1
ENA,PRJEB61808,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61808&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Ovis aries,1
ENA,PRJEB69690,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB69690&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Ovis aries,1
ENA,PRJEB7537,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB7537&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Equus caballus,1
ENA,PRJEB75467,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB75467&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Bos taurus,1
ENA,PRJEB81145,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81145&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Ovis aries,1
ENA,PRJEB81815,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81815&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Felis catus,1
ENA,PRJEB90141,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90141&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Capra hircus,1
ENA,PRJEB90261,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90261&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Capra hircus,1
ENA,PRJEB9799,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB9799&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,reject_or_out_of_scope,archive_only,public_downloadable,Equus caballus,1
ENA,PRJNA1328209,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA1328209&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Capra hircus,1
ENA,PRJNA421430,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA421430&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,reject_or_out_of_scope,archive_only,public_downloadable,Sus scrofa domesticus,1
ENA,PRJNA705960,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA705960&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Bos taurus,1
ENA,PRJNA788987,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA788987&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Sus scrofa domesticus,1
ENA,PRJNA878488,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA878488&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Sus scrofa domesticus,1
GenBank,KU605068-KU605080,https://www.ncbi.nlm.nih.gov/nuccore/KU605068,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Camelus dromedarius,1
GenBank,KX379528-KX379529,https://www.ncbi.nlm.nih.gov/nuccore/KX379528,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Canis lupus familiaris,1
SRA,SRP073444,https://www.ncbi.nlm.nih.gov/sra?term=SRP073444,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Camelus dromedarius,1
SRA,SRS1407451,https://www.ncbi.nlm.nih.gov/sra?term=SRS1407451,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Canis lupus familiaris,1
SRA,SRS1407453,https://www.ncbi.nlm.nih.gov/sra?term=SRS1407453,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Canis lupus familiaris,1
