locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
Dragsholm (Zealand region),55.768,11.388,4,5718,7296,6507,5718-7296 BP,"1240k,ho",NEO732.SG;NEO733.SG;NEO822.SG;NEO962.SG
Gerdrup (Zealand region),55.73,12.12,4,1042,3944,2493,1042-3944 BP,"1240k,ho",VK213.SG;VK214.SG;VK215.SG;VK216.SG
Lejre (Zealand region),55.6,11.95,4,1047,1103,1075,1047-1103 BP,"1240k,ho",VK247.SG;VK385.SG;VK90.SG;VK92.SG
Toftum Mose (Jutland region),55.895,9.987,4,3923,4396,4160,3923-4396 BP,"1240k,ho",NEO870.SG;NEO872.SG;NEO875.SG;NEO876.SG
Tollemosegard (Zealand region),55.87,12.08,4,926,1274,1100,926-1274 BP,"1240k,ho",VK65.SG;VK69.SG;VK70.SG;VK71.SG
Bakkendrup (Zealand region),55.56,11.25,3,1047,1103,1075,1047-1103 BP,"1240k,ho",VK294.SG;VK315.SG;VK369.SG
Rantzausminde (Funen region),55.05,10.53,3,1047,1103,1075,1047-1103 BP,"1240k,ho",VK312.SG;VK313.SG;VK314.SG
Bodkergarden (Langeland region),54.8,10.69,2,1042,1158,1100,1042-1158 BP,"1240k,ho",VK289.SG;VK291.SG
Borreby (Zealand region),55.225,11.303,2,3895,4200,4048,3895-4200 BP,"1240k,ho",NEO735.SG;NEO737.SG
Ertebølle (Jutland region),56.812,9.179,2,6245,6525,6385,6245-6525 BP,"1240k,ho",NEO568.SG;NEO569.SG
Gl. Lejre (Zealand region),55.62,11.97,2,826,1174,1000,826-1174 BP,"1240k,ho",VK445.SG;VK94.SG
Hessum (Funen region),55.51,10.45,2,826,1174,1000,826-1174 BP,"1240k,ho",VK295.SG;VK316.SG
Hundstrup Mose (Zealand region),55.15,11.87,2,1108,1300,1204,1108-1300 BP,"1240k,ho",VK296.SG;VK297.SG
Koed (Jutland region),56.371,10.573,2,7219,7395,7307,7219-7395 BP,"1240k,ho",NEO583.SG;NEO586.SG
Kolind (Jutland region),56.362,10.593,2,3903,4281,4092,3903-4281 BP,"1240k,ho",NEO738.SG;NEO739.SG
Korsør Nor (Zealand region),55.331,11.145,2,7028,7698,7363,7028-7698 BP,"1240k,ho",NEO589.SG;NEO791.SG
Ladby (Funen region),55.43,10.61,2,897,1473,1185,897-1473 BP,"1240k,ho",VK301.SG;VK319.SG
Lundby-Falster (Falster region),54.865,11.841,2,5330,5474,5402,5330-5474 BP,"1240k,ho",NEO865.SG;NEO866.SG
Mosede Mose (Zealand region),55.576,12.275,2,3734,4126,3930,3734-4126 BP,"1240k,ho",NEO860.SG;NEO861.SG
Orehoved Sejlrende (Falster region),54.96,11.85,2,8054,8321,8188,8054-8321 BP,"1240k,ho",NEO122.SG;NEO123.SG
Rude (Jutland region),55.994,10.248,2,5461,5682,5572,5461-5682 BP,"1240k,ho",NEO41.SG;NEO43.SG
Strøby (Avlebjerg),55.38332,12.28199,2,5007,5323,5165,5007-5323 BP,"1240k,ho",AVL001.SG;AVL001_d.SG
Alken Enge (Jutland region),56.05,9.94,1,1842,1958,1900,1842-1958 BP,"1240k,ho",VK582.SG
Avlebjerg (Strøby) (Zealand region),55.368,12.287,1,5068,5196,5132,5068-5196 BP,"1240k,ho",NEO961.SG
Barhøj (Strøby Egede) (Zealand region),55.403,12.272,1,4111,4235,4173,4111-4235 BP,"1240k,ho",NEO92.SG
Besser (Zealand region),55.85,10.64,1,934,1166,1050,934-1166 BP,"1240k,ho",VK298.SG
Bjørnsholm (Jutland region),56.874,9.215,1,6481,6645,6563,6481-6645 BP,"1240k,ho",NEO751.SG
Bodal K (Zealand region),55.586,11.538,1,7217,7393,7305,7217-7393 BP,"1240k,ho",NEO814.SG
Borse (Zealand region),55.13,11.95,1,942,1058,1000,942-1058 BP,"1240k,ho",VK281.SG
Brondsager Torsiinre (Zealand region),55.635879,12.241361,1,1534,1766,1650,1534-1766 BP,"1240k,ho",VK521.SG
Bybjerg (Zealand region),55.76,11.798,1,3316,3444,3380,3316-3444 BP,"1240k,ho",NEO563.SG
Bygholm Nørremark (Jutland region),55.875,9.812,1,5449,5589,5519,5449-5589 BP,"1240k,ho",NEO564.SG
Dalmosegaard (Møn region),54.989,12.419,1,5313,5521,5417,5313-5521 BP,"1240k,ho",NEO886.SG
Døjringe (Zealand region),55.484,11.579,1,5278,5402,5340,5278-5402 BP,"1240k,ho",NEO566.SG
Elkenøre (Falster region),54.732,11.986,1,5283,5407,5345,5283-5407 BP,"1240k,ho",NEO888.SG
"Falshöj (Nordjylland, Mariagerfjord)",56.676,10.034,1,3944,4136,4040,3944-4136 BP,"1240k,ho",RISE71.SG
Fannerup D (Jutland region),56.401,10.715,1,6500,6648,6574,6500-6648 BP,"1240k,ho",NEO855.SG
Fannerup E (Jutland region),56.401,10.718,1,6615,6787,6701,6615-6787 BP,"1240k,ho",NEO570.SG
Fannerup F (Jutland region),56.4,10.714,1,7193,7313,7253,7193-7313 BP,"1240k,ho",NEO930.SG
Gammellung (Langeland region),54.876,10.784,1,3730,3886,3808,3730-3886 BP,"1240k,ho",NEO934.SG
"Gjerrild Cist (Eastern Jutland, Djursland)",56.5,10.82,1,4255,4511,4383,4255-4511 BP,"1240k,ho",RISE1283.SG
"Gjerrild Cist (Midtjylland, Norddjurs)",56.5,10.82,1,3890,4562,4226,3890-4562 BP,"1240k,ho",RISE1280_RISE1281_merge.SG
Grøfte (Zealand region),55.404,11.497,1,5425,5565,5495,5425-5565 BP,"1240k,ho",NEO571.SG
Havnø (Jutland region),56.709,10.171,1,6667,6799,6733,6667-6799 BP,"1240k,ho",NEO941.SG
Hedegaard (Bislev) (Jutland region),56.907,9.576,1,9524,9684,9604,9524-9684 BP,"1240k,ho",NEO13.SG
Hesselbjergmarken (Langeland region),54.87,10.72,1,997,1053,1025,997-1053 BP,"1240k,ho",VK318.SG
Holmegard-Djursland (Jutland region),56.251,10.755,1,6830,7038,6934,6830-7038 BP,"1240k,ho",NEO1.SG
Hove A (Zealand region),55.708,12.25,1,3035,3211,3123,3035-3211 BP,"1240k,ho",NEO946.SG
Jorløse Mose (Zealand region),55.601,11.312,1,5442,5542,5492,5442-5542 BP,"1240k,ho",NEO23.SG
Jørlundegard (Zealand region),55.828,12.166,1,5180,5344,5262,5180-5344 BP,"1240k,ho",NEO702.SG
Kainsbakke II (Jutland region),56.433,10.789,1,5027,5143,5085,5027-5143 BP,"1240k,ho",NEO25.SG
"Karlstrup (Sjælland, Solrød)",55.55,12.209,1,3213,3389,3301,3213-3389 BP,"1240k,ho",RISE21.SG
Klokkehøj (Funen region),55.108,10.111,1,4500,4668,4584,4500-4668 BP,"1240k,ho",NEO580.SG
Klæsterupholm Mose (Jutland region),57.29,10.033,1,3163,3379,3271,3163-3379 BP,"1240k,ho",NEO951.SG
Koelbjerg (Funen region),55.404,10.133,1,10320,10520,10420,10320-10520 BP,"1240k,ho",NEO254.SG
Kongemose (Zealand region),55.583,11.551,1,7436,7624,7530,7436-7624 BP,"1240k,ho",NEO587.SG
Kragehave Odetofter (Zealand region),55.655463,12.245129,1,1736,1964,1850,1736-1964 BP,"1240k,ho",VK532.SG
Kumle hoje (Langeland region),54.89,10.74,1,942,1058,1000,942-1058 BP,"1240k,ho",VK290.SG
"Kyndelöse (Sjælland, Lejre)",55.703,11.855,1,4391,4747,4569,4391-4747 BP,"1240k,ho",RISE61.SG
Kyndeløse (Zealand region),55.703,11.855,1,3927,4067,3997,3927-4067 BP,"1240k,ho",NEO878.SG
Køge Sønakke (Zealand region),55.402,12.367,1,9091,9243,9167,9091-9243 BP,"1240k,ho",NEO759.SG
Langø Skaldynge (Funen region),55.545,10.622,1,6139,6367,6253,6139-6367 BP,"1240k,ho",NEO853.SG
Lohals (Langeland region),55.134,10.903,1,5441,5601,5521,5441-5601 BP,"1240k,ho",NEO29.SG
Lollikehuse (Zealand region),55.758,12.007,1,3597,3725,3661,3597-3725 BP,"1240k,ho",NEO857.SG
Læsten Mose (Jutland region),56.485,9.827,1,5297,5501,5399,5297-5501 BP,"1240k,ho",NEO945.SG
Madesø (Zealand region),55.621,11.331,1,3671,3847,3759,3671-3847 BP,"1240k,ho",NEO752.SG
Magleø (Zealand region),55.34,11.161,1,3211,3331,3271,3211-3331 BP,"1240k,ho",NEO590.SG
Mandemarke (Mön region),54.969,12.494,1,5338,5466,5402,5338-5466 BP,"1240k,ho",NEO896.SG
"Marbjerg (Sjælland, Roskilde)",55.657,12.148,1,3917,4125,4021,3917-4125 BP,"1240k,ho",RISE42.SG
Myrebjerg mose (Langeland region),54.771,10.675,1,5032,5308,5170,5032-5308 BP,"1240k,ho",NEO925.SG
Nederst (Jutland region),56.365,10.643,1,7038,7218,7128,7038-7218 BP,"1240k,ho",NEO856.SG
Neverkær Mose (Funen region),55.391,10.078,1,5082,5194,5138,5082-5194 BP,"1240k,ho",NEO594.SG
Norsminde (Jutland region),56.027,10.257,1,6494,6634,6564,6494-6634 BP,"1240k,ho",NEO852.SG
Næs (Falster region),54.87,12.116,1,4381,4521,4451,4381-4521 BP,"1240k,ho",NEO792.SG
Pandebjerg (Zealand region),55.789,11.292,1,5551,5611,5581,5551-5611 BP,"1240k,ho",NEO595.SG
Porsmose (Zealand region),55.276,11.875,1,5135,5495,5315,5135-5495 BP,"1240k,ho",NEO795.SG
Ravnsbjerggard II (Zealand region),55.581,11.578,1,5974,6146,6060,5974-6146 BP,"1240k,ho",NEO960.SG
Roskilde Fjord (south of Jyllinge) (Zealand region),55.73,12.1,1,5584,5764,5674,5584-5764 BP,"1240k,ho",NEO891.SG
Rødhals (Zealand region),55.914,11.091,1,6028,6084,6056,6028-6084 BP,"1240k,ho",NEO645.SG
Rønsten (Jutland region),56.27,10.472,1,8184,8352,8268,8184-8352 BP,"1240k,ho",NEO19.SG
Salpetermosen syd 8 (Zealand region),55.91,12.307,1,5447,5523,5485,5447-5523 BP,"1240k,ho",NEO28.SG
Sebber skole,56.97,9.552,1,3304,3456,3380,3304-3456 BP,"1240k,ho",RISE47.SG
"Sejerby (Sjælland, Kalundborg)",55.902,11.118,1,5322,5502,5412,5322-5502 BP,"1240k,ho",NEO757.SG
Sigersdal Mose (Zealand region),55.761,12.258,1,4943,5503,5223,4943-5503 BP,"1240k,ho",NEO7.SG
Sigersdal Mose 2 (Zealand region),55.772,12.213,1,5465,5581,5523,5465-5581 BP,"1240k,ho",NEO753.SG
Sludegard Sømose (Funen region),55.253,10.746,1,5290,5514,5402,5290-5514 BP,"1240k,ho",NEO933.SG
Stenderup Hage (Funen region),55.46,9.694,1,4452,4696,4574,4452-4696 BP,"1240k,ho",NEO943.SG
Stengade I (Langeland region),54.96,10.83,1,942,1058,1000,942-1058 BP,"1240k,ho",VK282.SG
Storelyng (Østrup Homo II) (Zealand region),55.589,11.576,1,5062,5210,5136,5062-5210 BP,"1240k,ho",NEO602.SG
Strøby Grøftemar (Zealand region),55.393,12.307,1,9046,9178,9112,9046-9178 BP,"1240k,ho",NEO91.SG
Strøby Ladeplads (Zealand region),55.406,12.285,1,3677,3809,3743,3677-3809 BP,"1240k,ho",NEO93.SG
Svinninge Vejle (Zealand region),55.736,11.425,1,5023,5311,5167,5023-5311 BP,"1240k,ho",NEO898.SG
Syltholm (Lolland),54.623,11.458,1,5622,5870,5746,5622-5870 BP,"1240k,ho",Syltholm1.SG
Sølager (Zealand region),55.948,11.897,1,6236,6396,6316,6236-6396 BP,"1240k,ho",NEO598.SG
Tissøe (Zealand region),55.575,11.294,1,5441,5653,5547,5441-5653 BP,"1240k,ho",NEO942.SG
Trekroner-Grydehej (Zealand region),55.65,12.14,1,826,1174,1000,826-1174 BP,"1240k,ho",VK284.SG
"Trundholm II (Sjælland, Odsherred)",55.914,11.565,1,2464,2760,2612,2464-2760 BP,"1240k,ho",RISE276.SG
Tudse Hage (Zealand region),55.249,11.228,1,7436,7624,7530,7436-7624 BP,"1240k,ho",NEO932.SG
Tybrind Vig (Funen region),55.395,9.826,1,7614,7834,7724,7614-7834 BP,"1240k,ho",NEO683.SG
Tysmose (Zealand region),55.711,12.274,1,5607,5779,5693,5607-5779 BP,"1240k,ho",NEO790.SG
Vanløse Mose (Zealand region),55.553,11.684,1,5014,5178,5096,5014-5178 BP,"1240k,ho",NEO599.SG
Vasagard (Bornholm),55.055,14.885,1,3366,3494,3430,3366-3494 BP,"1240k,ho",NEO815.SG
Vedbaek Boldbaner (Zealand region),55.848,12.56,1,7758,7978,7868,7758-7978 BP,"1240k,ho",NEO600.SG
Vibygards Mose (Zealand region),55.564,12.016,1,5138,5270,5204,5138-5270 BP,"1240k,ho",NEO935.SG
Vig Femhøve (Zealand region),55.856,11.59,1,5302,5510,5406,5302-5510 BP,"1240k,ho",NEO744.SG
Viksø Mose (Zealand region),55.759,12.238,1,5742,5794,5768,5742-5794 BP,"1240k,ho",NEO601.SG
Vittrup (Jutland region),57.391,9.761,1,5095,5171,5133,5095-5171 BP,"1240k,ho",NEO33.SG
Vængesø II (Jutland region),56.146,10.552,1,6170,6430,6300,6170-6430 BP,"1240k,ho",NEO3.SG
"Zealand, Storelyng (Øgarde boat III)",55.587,11.574,1,5063,5303,5183,5063-5303 BP,"1240k,ho",NEO597.SG
