feature_id,evidence_row_id,site_record_id,species_latin_name,species_common_name,animal_scope,support_class,locality,political_entity,latitude,longitude,coordinate_basis,coordinate_confidence,sample_count,sample_record_ids,source_native_taxon_labels,source_native_tax_ids,source_native_scientific_names,taxon_alignment_statuses,project_accessions,paper_doi,supplementary_sources,time_label,nordic_inclusion
animal-atlas-feature:bos-taurus-locality-prjeb75467-ocourelgalicia-spain,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-ocourelgalicia-spain,bos_taurus:locality:prjeb75467:ocourelgalicia:spain,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"O Courel, Galicia",Spain,43.0719383129431,-8.66097028062168,supplementary_proximal_site_coordinates,approximate,3,bos_taurus:sample:prjeb75467:samea115574415;bos_taurus:sample:prjeb75467:samea115574416;bos_taurus:sample:prjeb75467:samea115574417,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,9026-9474 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-padova-italy,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-padova-italy,bos_taurus:locality:prjeb75467:padova:italy,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Padova,Italy,45.406241207952,11.8823169512564,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574430,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,13793-14216 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-palidorolatium-italy,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-palidorolatium-italy,bos_taurus:locality:prjeb75467:palidorolatium:italy,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,"Palidoro, Latium",Italy,41.9268766840193,12.1784197861236,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574432,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,17798-18236 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-roshchinskoe-kazakhstan,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-roshchinskoe-kazakhstan,bos_taurus:locality:prjeb75467:roshchinskoe:kazakhstan,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Roshchinskoe,Kazakhstan,54.1452769675404,69.1937753660588,supplementary_proximal_site_coordinates,approximate,2,bos_taurus:sample:prjeb75467:samea115574436;bos_taurus:sample:prjeb75467:samea115574437,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,5298-5465 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-trierbrderkrankenhaus-germany,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-trierbrderkrankenhaus-germany,bos_taurus:locality:prjeb75467:trierbrderkrankenhaus:germany,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Trier-Brüderkrankenhaus,Germany,49.75,6.633333,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574445,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,9902-10217 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-tuladistrict-russia,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-tuladistrict-russia,bos_taurus:locality:prjeb75467:tuladistrict:russia,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Tula district,Russia,54.1927677001745,37.6054675840347,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574446,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,40672-42386 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-upperrhinevalley-germany,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-upperrhinevalley-germany,bos_taurus:locality:prjeb75467:upperrhinevalley:germany,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Upper Rhine Valley,Germany,51.6188100745602,9.66938943552029,supplementary_proximal_site_coordinates,approximate,3,bos_taurus:sample:prjeb75467:samea115574433;bos_taurus:sample:prjeb75467:samea115574434;bos_taurus:sample:prjeb75467:samea115574435,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,10048-68764 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-varfolomeevka-russia,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-varfolomeevka-russia,bos_taurus:locality:prjeb75467:varfolomeevka:russia,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Varfolomeevka,Russia,51.6301587756887,49.6658507598358,supplementary_proximal_site_coordinates,approximate,2,bos_taurus:sample:prjeb75467:samea115574449;bos_taurus:sample:prjeb75467:samea115574450,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,7164-7567 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-vratsa-bulgaria,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-vratsa-bulgaria,bos_taurus:locality:prjeb75467:vratsa:bulgaria,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Vratsa,Bulgaria,42.9726491502666,24.118494664326,supplementary_proximal_site_coordinates,approximate,2,bos_taurus:sample:prjeb75467:samea115574452;bos_taurus:sample:prjeb75467:samea115574454,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,5932-6244 BP,false
animal-atlas-feature:bos-taurus-locality-prjeb75467-yorkshire-britain,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-yorkshire-britain,bos_taurus:locality:prjeb75467:yorkshire:britain,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,Yorkshire,Britain,54.1101,-2.2914,supplementary_proximal_site_coordinates,approximate,1,bos_taurus:sample:prjeb75467:samea115574455,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,PRJEB75467,10.1038/s41586-024-08112-6,,4584-4835 BP,false
animal-atlas-feature:capra-hircus-locality-prjeb90141-acemhyk-aksarayplainturkey,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-acemhyk-aksarayplainturkey,capra_hircus:locality:prjeb90141:acemhyk:aksarayplainturkey,Capra hircus,goat,domesticated_core,accepted,Acemhöyük,"Aksaray Plain, Turkey",38.540978,33.771234,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90141:samea4591761,,,,not_reported,PRJEB90141,10.1093/gbe/evaf181,,3833-3984 BP,false
animal-atlas-feature:capra-hircus-locality-prjeb90141-blagotinpoljna-trstenikserbia,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-blagotinpoljna-trstenikserbia,capra_hircus:locality:prjeb90141:blagotinpoljna:trstenikserbia,Capra hircus,goat,domesticated_core,accepted,Blagotin-Poljna,"Trstenik, Serbia",43.723286,21.099449,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90141:samea4588077,,,,not_reported,PRJEB90141,10.1093/gbe/evaf181,,7840-8030 BP,false
animal-atlas-feature:capra-hircus-locality-prjeb90141-direklicave-taurusmountainsturkey,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-direklicave-taurusmountainsturkey,capra_hircus:locality:prjeb90141:direklicave:taurusmountainsturkey,Capra hircus,goat,wild_or_progenitor_context,accepted,Direkli Cave,"Taurus Mountains, Turkey",37.8578,36.653883,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90141:samea4453841,,,,not_reported,PRJEB90141,10.1093/gbe/evaf181,,13169-13316 BP,false
animal-atlas-feature:capra-hircus-locality-prjeb90141-sangechakhmaq-semnaniran,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-sangechakhmaq-semnaniran,capra_hircus:locality:prjeb90141:sangechakhmaq:semnaniran,Capra hircus,goat,domesticated_core,accepted,Sang-e Chakhmaq,"Semnan, Iran",36.504158,55.000786,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90141:samea4591758,,,,not_reported,PRJEB90141,10.1093/gbe/evaf181,,7939-8170 BP,false
animal-atlas-feature:capra-hircus-locality-prjeb90261-aguadulce-grancanaria,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-aguadulce-grancanaria,capra_hircus:locality:prjeb90261:aguadulce:grancanaria,Capra hircus,goat,domesticated_core,accepted,Aguadulce,Gran Canaria,27.963741,-15.381412,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-1961,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,11th - 12th centuries CE (SUII),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-belmaco-lapalma,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-belmaco-lapalma,capra_hircus:locality:prjeb90261:belmaco:lapalma,Capra hircus,goat,domesticated_core,accepted,Belmaco,La Palma,28.5786,-17.7762,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-2197,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,11th - 12th centuries CE (SU17-18),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-buracas-lapalma,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-buracas-lapalma,capra_hircus:locality:prjeb90261:buracas:lapalma,Capra hircus,goat,domesticated_core,accepted,Buracas,La Palma,28.7924,-17.9765,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-2201,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,6th - 8th centuries CE (SU15),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-caserones-grancanaria,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-caserones-grancanaria,capra_hircus:locality:prjeb90261:caserones:grancanaria,Capra hircus,goat,domesticated_core,accepted,Caserones,Gran Canaria,28.002674,-15.813492,supplementary_table_coordinates,exact,2,capra_hircus:sample:prjeb90261:pgull-2144;capra_hircus:sample:prjeb90261:pgull-2145,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,13th - 14th centuries CE (SU13),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-cuevadebencomo-tenerife,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-cuevadebencomo-tenerife,capra_hircus:locality:prjeb90261:cuevadebencomo:tenerife,Capra hircus,goat,domesticated_core,accepted,Cueva de Bencomo,Tenerife,28.4071,-16.5061,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-1786,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,7th - 11th centuries CE (SU2),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-cuevadelaherradura-elhierro,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-cuevadelaherradura-elhierro,capra_hircus:locality:prjeb90261:cuevadelaherradura:elhierro,Capra hircus,goat,domesticated_core,accepted,Cueva de la Herradura,El Hierro,27.640201,-17.989809,supplementary_table_coordinates,exact,3,capra_hircus:sample:prjeb90261:pgull-1962;capra_hircus:sample:prjeb90261:pgull-1965;capra_hircus:sample:prjeb90261:pgull-2202,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,3rd - 4th centuries CE (SU110),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-cuevadevillaverde-fuerteventura,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-cuevadevillaverde-fuerteventura,capra_hircus:locality:prjeb90261:cuevadevillaverde:fuerteventura,Capra hircus,goat,domesticated_core,accepted,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,supplementary_table_coordinates,exact,13,capra_hircus:sample:prjeb90261:pgull-1233;capra_hircus:sample:prjeb90261:pgull-1235;capra_hircus:sample:prjeb90261:pgull-1236;capra_hircus:sample:prjeb90261:pgull-1238;capra_hircus:sample:prjeb90261:pgull-1239;capra_hircus:sample:prjeb90261:pgull-1240;capra_hircus:sample:prjeb90261:pgull-1241;capra_hircus:sample:prjeb90261:pgull-1244;capra_hircus:sample:prjeb90261:pgull-1246;capra_hircus:sample:prjeb90261:pgull-1247;capra_hircus:sample:prjeb90261:pgull-1249;capra_hircus:sample:prjeb90261:pgull-1251;capra_hircus:sample:prjeb90261:pgull-1256,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,6th - 12th centuries CE (site),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-cuevasdeherreragonzlez-lagomera,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-cuevasdeherreragonzlez-lagomera,capra_hircus:locality:prjeb90261:cuevasdeherreragonzlez:lagomera,Capra hircus,goat,domesticated_core,accepted,Cuevas de Herrera González,La Gomera,28.174384,-17.323679,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-0529,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,15th century CE (SU6),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-elchorrillo-tenerife,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-elchorrillo-tenerife,capra_hircus:locality:prjeb90261:elchorrillo:tenerife,Capra hircus,goat,domesticated_core,accepted,El Chorrillo,Tenerife,28.422,-16.3133,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-2220,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,13th - 14th centuries CE (SU8),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-ellomitodelmedio-lagomera,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-ellomitodelmedio-lagomera,capra_hircus:locality:prjeb90261:ellomitodelmedio:lagomera,Capra hircus,goat,domesticated_core,accepted,El Lomito del Medio,La Gomera,28.085573,-17.149227,supplementary_table_coordinates,exact,3,capra_hircus:sample:prjeb90261:pgull-0515;capra_hircus:sample:prjeb90261:pgull-0518;capra_hircus:sample:prjeb90261:pgull-0523,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,7th - 8th centuries CE (SU2),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-elportaln-burgos,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-elportaln-burgos,capra_hircus:locality:prjeb90261:elportaln:burgos,Capra hircus,goat,domesticated_core,accepted,El Portalón,Burgos,42.2853,-3.8335,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:apor012,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,86-237 cal CE (sample),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-eltendal-lapalma,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-eltendal-lapalma,capra_hircus:locality:prjeb90261:eltendal:lapalma,Capra hircus,goat,domesticated_core,accepted,El Tendal,La Palma,28.787616,-17.765601,supplementary_table_coordinates,exact,3,capra_hircus:sample:prjeb90261:pgull-1964;capra_hircus:sample:prjeb90261:pgull-2228;capra_hircus:sample:prjeb90261:pgull-2230,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,11th - 12th centuries CE (SU104),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-fiquinineo-lanzarote,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-fiquinineo-lanzarote,capra_hircus:locality:prjeb90261:fiquinineo:lanzarote,Capra hircus,goat,domesticated_core,accepted,Fiquinineo,Lanzarote,29.078038,-13.596783,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-1963,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,11th - 12th centuries (SU3),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-hospitaldesanmartincallesanmarcial-grancanaria,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-hospitaldesanmartincallesanmarcial-grancanaria,capra_hircus:locality:prjeb90261:hospitaldesanmartincallesanmarcial:grancanaria,Capra hircus,goat,domesticated_core,accepted,Hospital de San Martin - Calle San Marcial,Gran Canaria,28.10131375,-15.4148534,supplementary_table_coordinates,exact,3,capra_hircus:sample:prjeb90261:pgull-1664;capra_hircus:sample:prjeb90261:pgull-1677;capra_hircus:sample:prjeb90261:pgull-1688,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,17th - 18th centuries CE (R3; SU72),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-lacaadadelagurona-lagomera,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-lacaadadelagurona-lagomera,capra_hircus:locality:prjeb90261:lacaadadelagurona:lagomera,Capra hircus,goat,domesticated_core,accepted,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,supplementary_table_coordinates,exact,5,capra_hircus:sample:prjeb90261:pgull-0533;capra_hircus:sample:prjeb90261:pgull-0535;capra_hircus:sample:prjeb90261:pgull-0537;capra_hircus:sample:prjeb90261:pgull-0539;capra_hircus:sample:prjeb90261:pgull-0540,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,10th - 11th centuries CE (site),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-lafortaleza-grancanaria,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-lafortaleza-grancanaria,capra_hircus:locality:prjeb90261:lafortaleza:grancanaria,Capra hircus,goat,domesticated_core,accepted,La Fortaleza,Gran Canaria,27.8812894086404,-15.5273143528428,supplementary_table_coordinates,exact,1,capra_hircus:sample:prjeb90261:pgull-1404,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,7th - 8th centuries CE (SU8),false
animal-atlas-feature:capra-hircus-locality-prjeb90261-llanodelsombrero-fuerteventura,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-llanodelsombrero-fuerteventura,capra_hircus:locality:prjeb90261:llanodelsombrero:fuerteventura,Capra hircus,goat,domesticated_core,accepted,Llano del Sombrero,Fuerteventura,28.408761,-14.125189,supplementary_table_coordinates,exact,4,capra_hircus:sample:prjeb90261:pgull-1969;capra_hircus:sample:prjeb90261:pgull-1971;capra_hircus:sample:prjeb90261:pgull-1972;capra_hircus:sample:prjeb90261:pgull-2235,,,,not_reported,PRJEB90261,10.1016/j.isci.2025.113771,,11th - 12th centuries (A; SU11),false
