project_accession,species_latin_name,species_common_name,site_label,original_place_text,resolved_place_text,political_entity,source_artifact_path,source_locator,coordinate_basis,mapping_posture,latitude_text,longitude_text,geocoding_method,geocoder_or_gazetteer,confidence_rationale,coordinate_confidence,paper_doi,paper_url,supplementary_source,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB81815,Felis catus,cat,Demircihüyük,Demircihüyük,Demircihüyük,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246533 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row28 -> Table_S1!row205,supplementary_table_coordinates,mappable_point,40.17,29.98,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,550-650 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Durankulak,Durankulak,Durankulak,Bulgaria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246536 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row34 -> Table_S1!row30,supplementary_table_coordinates,mappable_point,43.70,28.54,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Genoni Santu Antine, Sardinia","Genoni Santu Antine, Sardinia","Genoni Santu Antine, Sardinia",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246544 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row45 -> Table_S1!row92,supplementary_table_coordinates,mappable_point,39.80,9.00,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1999-2289 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Graffignano (Viterbo, Latium)","Graffignano (Viterbo, Latium)","Graffignano (Viterbo, Latium)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246543 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row42 -> Table_S1!row91,supplementary_table_coordinates,mappable_point,42.57,12.20,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Late 15th-Early 16th cent AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Grotta del Cocci (Narni, Umbria)","Grotta del Cocci (Narni, Umbria)","Grotta del Cocci (Narni, Umbria)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246532 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row26 -> Table_S1!row76,supplementary_table_coordinates,mappable_point,42.52,12.52,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,7159-7319 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Iznik - Roman theatre,Iznik - Roman theatre,Iznik - Roman theatre,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246548 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row51 -> Table_S1!row207,supplementary_table_coordinates,mappable_point,40.42,29.72,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1300-1375 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Kassope,Kassope,Kassope,Greece,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246549 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row52 -> Table_S1!row63,supplementary_table_coordinates,mappable_point,39.15,20.67,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Koprivec,Koprivec,Koprivec,Bulgaria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246551 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row55 -> Table_S1!row37,supplementary_table_coordinates,mappable_point,43.41,25.88,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,7309-7429 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Labastida,Labastida,Labastida,Spain,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246552 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row57 -> Table_S1!row187,supplementary_table_coordinates,mappable_point,42.58,-2.78,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,end 15th-early 16th c.,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Mautern - vicus Ost,Mautern - vicus Ost,Mautern - vicus Ost,Austria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246560 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row65 -> Table_S1!row6,supplementary_table_coordinates,mappable_point,48.39,15.58,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1870-1999 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Menteşe,Menteşe,Menteşe,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246555 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row60 -> Table_S1!row209,supplementary_table_coordinates,mappable_point,40.28,29.52,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,7929-8024 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Musarna (Viterbo, Latium)","Musarna (Viterbo, Latium)","Musarna (Viterbo, Latium)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246561 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row68 -> Table_S1!row105,supplementary_table_coordinates,mappable_point,42.41,11.98,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1410-1590 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Nardò “torre santa Caterina”,Nardò “torre santa Caterina”,Nardò “torre santa Caterina”,Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246576 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row91 -> Table_S1!row132,supplementary_table_coordinates,mappable_point,40.14,17.99,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,17-18th c AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Padova Via Cesare Battisti (Veneto),Padova Via Cesare Battisti (Veneto),Padova Via Cesare Battisti (Veneto),Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246562 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row70 -> Table_S1!row106,supplementary_table_coordinates,mappable_point,45.41,11.87,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,510-550 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Palatino North East slope (Rome),Palatino North East slope (Rome),Palatino North East slope (Rome),Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246567 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row77 -> Table_S1!row114,supplementary_table_coordinates,mappable_point,41.89,12.49,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Palmela Castle,Palmela Castle,Palmela Castle,Portugal,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246563 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row71 -> Table_S1!row161,supplementary_table_coordinates,mappable_point,38.57,-8.90,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Parking 58, Brussels","Parking 58, Brussels","Parking 58, Brussels",Belgium,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246527 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row18 -> Table_S1!row23,supplementary_table_coordinates,mappable_point,50.85,4.35,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,end 14th - 15th cent. AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Petronell-Carnuntum,Petronell-Carnuntum,Petronell-Carnuntum,Austria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246565 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row75 -> Table_S1!row14,supplementary_table_coordinates,mappable_point,48.12,16.85,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Rome, S. Cecilia in Trastevere","Rome, S. Cecilia in Trastevere","Rome, S. Cecilia in Trastevere",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246530 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row23 -> Table_S1!row75,supplementary_table_coordinates,mappable_point,41.89,12.48,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,12-13th c AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Sagalassos,Sagalassos,Sagalassos,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246573 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row87 -> Table_S1!row215,supplementary_table_coordinates,mappable_point,37.68,30.52,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Early Byzantine,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Salzburg - Residenz,Salzburg - Residenz,Salzburg - Residenz,Austria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246575 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row89 -> Table_S1!row17,supplementary_table_coordinates,mappable_point,47.80,13.05,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,15/16th centuries,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Saracena (Cosenza, Calabria)","Saracena (Cosenza, Calabria)","Saracena (Cosenza, Calabria)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246574 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row88 -> Table_S1!row130,supplementary_table_coordinates,mappable_point,39.77,16.15,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Early Neolithic,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Sassari, palazzo ducale, Sardinia","Sassari, palazzo ducale, Sardinia","Sassari, palazzo ducale, Sardinia",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246577 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row92 -> Table_S1!row135,supplementary_table_coordinates,mappable_point,40.73,8.55,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,19th AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Tabernas, Spain","Tabernas, Spain","Tabernas, Spain",Spain,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246578 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row93 -> Table_S1!row192,supplementary_table_coordinates,mappable_point,37.05,-2.39,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,4349-4649 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Tertenia, Sardinia","Tertenia, Sardinia","Tertenia, Sardinia",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246579 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row95 -> Table_S1!row144,supplementary_table_coordinates,mappable_point,39.69,9.58,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,4th-5th c AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Tongeren, Industrie Oost","Tongeren, Industrie Oost","Tongeren, Industrie Oost",Belgium,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246580 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row96 -> Table_S1!row25,supplementary_table_coordinates,mappable_point,50.78,5.46,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1820-1989 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Traismauer,Traismauer,Traismauer,Austria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246581 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row97 -> Table_S1!row18,supplementary_table_coordinates,mappable_point,48.35,15.74,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1730-1890 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
