site_id,site_name,country,latitude,longitude,source_url,discovery_readiness,chronology_resolved,chronology_interval_count,chronology_record_count,chronology_kind_count,chronology_kinds,bibliography_count,dataset_count,sample_group_count,physical_sample_count,analysis_entity_count,raa_density_context_count,raa_context_role,current_activity_status,discovery_rank
4776,Bysjön,Sweden,55.683334,13.55,https://browser.sead.se/site/4776,chronology_and_bibliography_ready,True,3,3,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",3,4,1,1,4,6654,coarse_spatial_context_only,not_captured_by_repository_sources,11
4149,Grävsten herrgård,Sweden,58.3515719205,15.8922615755,https://browser.sead.se/site/4149,chronology_and_bibliography_ready,True,89,398,2,"[""dating_range"", ""dendrochronology""]",691,690,6,116,690,9863,coarse_spatial_context_only,not_captured_by_repository_sources,12
3973,Tvartorps gård,Sweden,58.8356707398,15.8465332706,https://browser.sead.se/site/3973,chronology_and_bibliography_ready,True,152,289,2,"[""dating_range"", ""dendrochronology""]",504,504,15,84,504,9863,coarse_spatial_context_only,not_captured_by_repository_sources,13
4022,Sankta Maria kyrka,Sweden,56.0463746463,12.6964463699,https://browser.sead.se/site/4022,chronology_and_bibliography_ready,True,104,265,2,"[""dating_range"", ""dendrochronology""]",450,450,1,75,450,6333,coarse_spatial_context_only,not_captured_by_repository_sources,14
4052,Norra Mellby kyrka,Sweden,56.0487252518,13.7194676553,https://browser.sead.se/site/4052,chronology_and_bibliography_ready,True,216,253,2,"[""dating_range"", ""dendrochronology""]",454,454,2,70,454,8912,coarse_spatial_context_only,not_captured_by_repository_sources,15
4066,Lärbro kyrka,Sweden,57.7871605877,18.7938608719,https://browser.sead.se/site/4066,chronology_and_bibliography_ready,True,109,252,2,"[""dating_range"", ""dendrochronology""]",426,426,1,72,426,13558,coarse_spatial_context_only,not_captured_by_repository_sources,16
3890,Kvarteret Ciselören,Sweden,57.6684137998,14.9702453854,https://browser.sead.se/site/3890,chronology_and_bibliography_ready,True,102,236,2,"[""dating_range"", ""dendrochronology""]",378,378,1,64,378,8067,coarse_spatial_context_only,not_captured_by_repository_sources,17
3924,Ösjöfors handpappersbruk,Sweden,57.7558690113,15.5669247642,https://browser.sead.se/site/3924,chronology_and_bibliography_ready,True,78,232,2,"[""dating_range"", ""dendrochronology""]",406,406,4,58,406,4004,coarse_spatial_context_only,not_captured_by_repository_sources,18
4430,"Håkulls Mosse, Kullaberg",Sweden,56.3,12.533334,https://browser.sead.se/site/4430,chronology_and_bibliography_ready,True,2,228,2,"[""analysis_entity_age"", ""relative_period""]",4,122,4,114,342,6333,coarse_spatial_context_only,not_captured_by_repository_sources,19
4152,Glimmingehus,Sweden,55.5009089705,14.2310562858,https://browser.sead.se/site/4152,chronology_and_bibliography_ready,True,163,221,2,"[""dating_range"", ""dendrochronology""]",548,548,3,85,548,3205,coarse_spatial_context_only,not_captured_by_repository_sources,20
4034,Rogslösa kyrka,Sweden,58.3828598943,14.7435739026,https://browser.sead.se/site/4034,chronology_and_bibliography_ready,True,143,203,2,"[""dating_range"", ""dendrochronology""]",361,360,1,63,360,3815,coarse_spatial_context_only,not_captured_by_repository_sources,21
3906,Hunnebergsgatan,Sweden,58.412078418,15.613317767,https://browser.sead.se/site/3906,chronology_and_bibliography_ready,True,86,186,2,"[""dating_range"", ""dendrochronology""]",434,434,5,67,434,9863,coarse_spatial_context_only,not_captured_by_repository_sources,22
4161,Föllingsö säteri,Sweden,57.9792353144,15.5982792286,https://browser.sead.se/site/4161,chronology_and_bibliography_ready,True,65,169,2,"[""dating_range"", ""dendrochronology""]",258,258,6,43,258,4004,coarse_spatial_context_only,not_captured_by_repository_sources,23
4191,Cramérska huset,Sweden,57.6413266574,18.2957180164,https://browser.sead.se/site/4191,chronology_and_bibliography_ready,True,94,163,2,"[""dating_range"", ""dendrochronology""]",258,258,1,43,258,13558,coarse_spatial_context_only,not_captured_by_repository_sources,24
4049,Norra Åsums kyrka,Sweden,55.9895996121,14.1514451464,https://browser.sead.se/site/4049,chronology_and_bibliography_ready,True,141,161,2,"[""dating_range"", ""dendrochronology""]",335,335,1,50,335,3205,coarse_spatial_context_only,not_captured_by_repository_sources,25
4169,Flöxhult säteri,Sweden,57.0616855739,15.5916708875,https://browser.sead.se/site/4169,chronology_and_bibliography_ready,True,81,156,2,"[""dating_range"", ""dendrochronology""]",319,319,9,49,319,4004,coarse_spatial_context_only,not_captured_by_repository_sources,26
4112,Härnevi kyrka,Sweden,59.7272333569,17.0759149131,https://browser.sead.se/site/4112,chronology_and_bibliography_ready,True,108,153,2,"[""dating_range"", ""dendrochronology""]",318,318,1,49,318,27450,coarse_spatial_context_only,not_captured_by_repository_sources,27
3843,Verksgatan,Sweden,58.1988383361,16.0048511229,https://browser.sead.se/site/3843,chronology_and_bibliography_ready,True,32,148,2,"[""dating_range"", ""dendrochronology""]",204,204,3,34,204,12413,coarse_spatial_context_only,not_captured_by_repository_sources,28
4005,Smedstorp,Sweden,57.9433759312,15.4137172846,https://browser.sead.se/site/4005,chronology_and_bibliography_ready,True,26,142,2,"[""dating_range"", ""dendrochronology""]",222,222,5,37,222,4004,coarse_spatial_context_only,not_captured_by_repository_sources,29
4117,Hunnebergsgatan 30A,Sweden,58.413038648,15.6097230179,https://browser.sead.se/site/4117,chronology_and_bibliography_ready,True,44,136,2,"[""dating_range"", ""dendrochronology""]",292,292,2,44,292,9863,coarse_spatial_context_only,not_captured_by_repository_sources,30
4135,Hammarlunda kyrka,Sweden,55.7370635839,13.438054968,https://browser.sead.se/site/4135,chronology_and_bibliography_ready,True,101,121,2,"[""dating_range"", ""dendrochronology""]",282,282,1,47,282,6654,coarse_spatial_context_only,not_captured_by_repository_sources,31
4165,Fröken Löfgrens gård,Sweden,58.4124597098,15.627324903,https://browser.sead.se/site/4165,chronology_and_bibliography_ready,True,36,121,2,"[""dating_range"", ""dendrochronology""]",234,234,1,69,234,9863,coarse_spatial_context_only,not_captured_by_repository_sources,32
4013,Skarp-Ösby,Sweden,60.0592589036,18.1975051069,https://browser.sead.se/site/4013,chronology_and_bibliography_ready,True,26,118,2,"[""dating_range"", ""dendrochronology""]",168,168,2,28,168,3238,coarse_spatial_context_only,not_captured_by_repository_sources,33
4098,Krapperups borg,Sweden,56.2620769233,12.5302627748,https://browser.sead.se/site/4098,chronology_and_bibliography_ready,True,107,116,2,"[""dating_range"", ""dendrochronology""]",283,283,1,43,283,6333,coarse_spatial_context_only,not_captured_by_repository_sources,34
4172,Fjellskäfte säteri,Sweden,59.1191566711,16.3647591532,https://browser.sead.se/site/4172,chronology_and_bibliography_ready,True,51,110,2,"[""dating_range"", ""dendrochronology""]",203,203,2,29,203,15126,coarse_spatial_context_only,not_captured_by_repository_sources,35
3990,Sundbyviks gård,Sweden,59.4496174411,16.3425451286,https://browser.sead.se/site/3990,chronology_and_bibliography_ready,True,6,108,2,"[""dating_range"", ""dendrochronology""]",162,162,2,27,162,15126,coarse_spatial_context_only,not_captured_by_repository_sources,36
4121,Hovdala slott,Sweden,56.1036848292,13.7137204295,https://browser.sead.se/site/4121,chronology_and_bibliography_ready,True,73,101,2,"[""dating_range"", ""dendrochronology""]",218,217,3,36,217,8912,coarse_spatial_context_only,not_captured_by_repository_sources,37
3900,Ingatorp,Sweden,57.6380382075,15.4073076125,https://browser.sead.se/site/3900,chronology_and_bibliography_ready,True,80,100,2,"[""dating_range"", ""dendrochronology""]",239,239,2,37,239,4004,coarse_spatial_context_only,not_captured_by_repository_sources,38
4222,Bankekinds kyrka,Sweden,58.3760722953,15.8200924421,https://browser.sead.se/site/4222,chronology_and_bibliography_ready,True,74,100,2,"[""dating_range"", ""dendrochronology""]",162,162,1,28,162,9863,coarse_spatial_context_only,not_captured_by_repository_sources,39
4162,Färlövs kyrka,Sweden,56.0741126978,14.083255033,https://browser.sead.se/site/4162,chronology_and_bibliography_ready,True,88,92,2,"[""dating_range"", ""dendrochronology""]",156,156,1,26,156,10817,coarse_spatial_context_only,not_captured_by_repository_sources,40
4039,Perstorps kyrka,Sweden,56.1416136158,13.3867602912,https://browser.sead.se/site/4039,chronology_and_bibliography_ready,True,76,88,2,"[""dating_range"", ""dendrochronology""]",202,202,2,30,202,8912,coarse_spatial_context_only,not_captured_by_repository_sources,41
4164,Furingstads kyrka,Sweden,58.5554415248,16.3444366205,https://browser.sead.se/site/4164,chronology_and_bibliography_ready,True,73,85,2,"[""dating_range"", ""dendrochronology""]",160,160,1,24,160,12413,coarse_spatial_context_only,not_captured_by_repository_sources,42
4014,Skabersjö slott,Sweden,55.5407035295,13.1471592635,https://browser.sead.se/site/4014,chronology_and_bibliography_ready,True,52,84,2,"[""dating_range"", ""dendrochronology""]",188,188,1,28,188,6654,coarse_spatial_context_only,not_captured_by_repository_sources,43
4214,Bjärsjöholms slott,Sweden,55.4534400797,13.7775800683,https://browser.sead.se/site/4214,chronology_and_bibliography_ready,True,58,84,2,"[""dating_range"", ""dendrochronology""]",162,162,1,27,162,6654,coarse_spatial_context_only,not_captured_by_repository_sources,44
3913,Friggestad,Sweden,55.9026716839,13.9326988282,https://browser.sead.se/site/3913,chronology_and_bibliography_ready,True,60,84,2,"[""dating_range"", ""dendrochronology""]",144,144,3,25,144,6654,coarse_spatial_context_only,not_captured_by_repository_sources,45
3994,Stora Köpinge kyrka,Sweden,55.470583297,13.9474727836,https://browser.sead.se/site/3994,chronology_and_bibliography_ready,True,68,82,2,"[""dating_range"", ""dendrochronology""]",168,168,1,30,168,6654,coarse_spatial_context_only,not_captured_by_repository_sources,46
3840,Vippröste,Sweden,58.1240511434,15.4352815847,https://browser.sead.se/site/3840,chronology_and_bibliography_ready,True,12,80,2,"[""dating_range"", ""dendrochronology""]",140,140,1,21,140,9863,coarse_spatial_context_only,not_captured_by_repository_sources,47
4174,Finntorp,Sweden,58.8976171968,15.9373051965,https://browser.sead.se/site/4174,chronology_and_bibliography_ready,True,6,80,2,"[""dating_range"", ""dendrochronology""]",120,120,2,20,120,9863,coarse_spatial_context_only,not_captured_by_repository_sources,48
4137,Halls fiskeläge,Sweden,57.9245583037,18.7442144509,https://browser.sead.se/site/4137,chronology_and_bibliography_ready,True,27,79,2,"[""dating_range"", ""dendrochronology""]",138,138,1,23,138,13558,coarse_spatial_context_only,not_captured_by_repository_sources,49
4080,Lau Kyrka,Sweden,57.2829069812,18.6201900158,https://browser.sead.se/site/4080,chronology_and_bibliography_ready,True,26,77,2,"[""dating_range"", ""dendrochronology""]",120,120,1,20,120,13558,coarse_spatial_context_only,not_captured_by_repository_sources,50
3893,Kvarteret Boktryckaren,Sweden,57.6683956105,14.9693066636,https://browser.sead.se/site/3893,chronology_and_bibliography_ready,True,30,76,2,"[""dating_range"", ""dendrochronology""]",144,144,1,24,144,8067,coarse_spatial_context_only,not_captured_by_repository_sources,51
4130,Hejde kyrka,Sweden,57.41279186,18.346056546,https://browser.sead.se/site/4130,chronology_and_bibliography_ready,True,30,76,2,"[""dating_range"", ""dendrochronology""]",123,123,1,20,123,13558,coarse_spatial_context_only,not_captured_by_repository_sources,52
4032,Rydboholms slott,Sweden,59.4400192467,18.1856597084,https://browser.sead.se/site/4032,chronology_and_bibliography_ready,True,8,76,2,"[""dating_range"", ""dendrochronology""]",115,114,2,19,114,10763,coarse_spatial_context_only,not_captured_by_repository_sources,53
5519,Storasjö,Sweden,56.94389,15.275278,https://browser.sead.se/site/5519,chronology_and_bibliography_ready,True,2,76,2,"[""analysis_entity_age"", ""relative_period""]",2,40,1,38,114,5849,coarse_spatial_context_only,not_captured_by_repository_sources,54
4219,Biskops,Sweden,57.8524433281,19.0470244846,https://browser.sead.se/site/4219,chronology_and_bibliography_ready,True,46,75,2,"[""dating_range"", ""dendrochronology""]",114,114,1,19,114,,coarse_spatial_context_only,not_captured_by_repository_sources,55
4142,Hagebyhöga kyrka,Sweden,58.46746785,14.9747329733,https://browser.sead.se/site/4142,chronology_and_bibliography_ready,True,60,74,2,"[""dating_range"", ""dendrochronology""]",211,211,1,34,211,3815,coarse_spatial_context_only,not_captured_by_repository_sources,56
4143,Hagby kyrka,Sweden,56.5546307122,16.1766390834,https://browser.sead.se/site/4143,chronology_and_bibliography_ready,True,30,72,2,"[""dating_range"", ""dendrochronology""]",132,132,1,22,132,6159,coarse_spatial_context_only,not_captured_by_repository_sources,57
3982,Toresbo,Sweden,56.687873753,15.794011781,https://browser.sead.se/site/3982,chronology_and_bibliography_ready,True,16,72,2,"[""dating_range"", ""dendrochronology""]",102,102,1,17,102,5849,coarse_spatial_context_only,not_captured_by_repository_sources,58
3920,Stockholms Slott,Sweden,59.3268384536,18.0716158312,https://browser.sead.se/site/3920,chronology_and_bibliography_ready,True,44,69,2,"[""dating_range"", ""dendrochronology""]",253,253,1,40,253,10763,coarse_spatial_context_only,not_captured_by_repository_sources,59
4224,Baldringe kyrka,Sweden,55.5299390885,13.8401822932,https://browser.sead.se/site/4224,chronology_and_bibliography_ready,True,32,68,2,"[""dating_range"", ""dendrochronology""]",174,174,1,33,174,6654,coarse_spatial_context_only,not_captured_by_repository_sources,60
4213,Björka kyrka,Sweden,55.656727137,13.6350501242,https://browser.sead.se/site/4213,chronology_and_bibliography_ready,True,56,68,2,"[""dating_range"", ""dendrochronology""]",137,137,1,20,137,6654,coarse_spatial_context_only,not_captured_by_repository_sources,61
3916,Borntorp,Sweden,59.9812361508,18.7313972675,https://browser.sead.se/site/3916,chronology_and_bibliography_ready,True,18,68,2,"[""dating_range"", ""dendrochronology""]",131,131,1,19,131,10763,coarse_spatial_context_only,not_captured_by_repository_sources,62
4212,Bonderups kyrka,Sweden,55.6397157063,13.3565138671,https://browser.sead.se/site/4212,chronology_and_bibliography_ready,True,52,68,2,"[""dating_range"", ""dendrochronology""]",126,126,1,22,126,6654,coarse_spatial_context_only,not_captured_by_repository_sources,63
4054,Noors Herrgård,Sweden,59.8749269109,18.8372757059,https://browser.sead.se/site/4054,chronology_and_bibliography_ready,True,8,68,2,"[""dating_range"", ""dendrochronology""]",123,123,2,19,123,10763,coarse_spatial_context_only,not_captured_by_repository_sources,64
4173,Fivelstad kyrka,Sweden,58.4418912603,15.0022096889,https://browser.sead.se/site/4173,chronology_and_bibliography_ready,True,40,68,2,"[""dating_range"", ""dendrochronology""]",108,108,1,19,108,9863,coarse_spatial_context_only,not_captured_by_repository_sources,65
4146,Gålarmora,Sweden,60.3364979894,18.013698688,https://browser.sead.se/site/4146,chronology_and_bibliography_ready,True,38,68,2,"[""dating_range"", ""dendrochronology""]",102,102,1,17,102,3238,coarse_spatial_context_only,not_captured_by_repository_sources,66
4114,Härads kyrka,Sweden,59.3598703443,16.9092602778,https://browser.sead.se/site/4114,chronology_and_bibliography_ready,True,50,67,2,"[""dating_range"", ""dendrochronology""]",128,128,1,21,128,15126,coarse_spatial_context_only,not_captured_by_repository_sources,67
3834,Tosterup 32:2,Sweden,55.4800716178,13.9867459422,https://browser.sead.se/site/3834,chronology_and_bibliography_ready,True,41,65,2,"[""dating_range"", ""dendrochronology""]",130,130,1,19,130,6654,coarse_spatial_context_only,not_captured_by_repository_sources,68
3987,Särslövs kyrka,Sweden,55.6213576114,13.1598571309,https://browser.sead.se/site/3987,chronology_and_bibliography_ready,True,44,64,2,"[""dating_range"", ""dendrochronology""]",130,130,1,19,130,6654,coarse_spatial_context_only,not_captured_by_repository_sources,69
4036,Resmo kyrka,Sweden,56.5413620819,16.443276332,https://browser.sead.se/site/4036,chronology_and_bibliography_ready,True,59,63,2,"[""dating_range"", ""dendrochronology""]",186,186,1,32,186,6159,coarse_spatial_context_only,not_captured_by_repository_sources,70
4197,Brönnestads kyrka,Sweden,56.0801435964,13.6984040659,https://browser.sead.se/site/4197,chronology_and_bibliography_ready,True,33,62,2,"[""dating_range"", ""dendrochronology""]",119,119,1,18,119,8912,coarse_spatial_context_only,not_captured_by_repository_sources,71
4176,Farhults kyrka,Sweden,56.2140163145,12.7123001788,https://browser.sead.se/site/4176,chronology_and_bibliography_ready,True,41,61,2,"[""dating_range"", ""dendrochronology""]",147,146,1,22,146,6333,coarse_spatial_context_only,not_captured_by_repository_sources,72
3960,Viggesbo säteri,Sweden,57.69034414,15.5156977131,https://browser.sead.se/site/3960,chronology_and_bibliography_ready,True,29,61,2,"[""dating_range"", ""dendrochronology""]",103,103,5,15,103,4004,coarse_spatial_context_only,not_captured_by_repository_sources,73
4205,Bosebo kyrka,Sweden,57.3061935154,13.3510066476,https://browser.sead.se/site/4205,chronology_and_bibliography_ready,True,38,60,2,"[""dating_range"", ""dendrochronology""]",189,189,1,29,189,8587,coarse_spatial_context_only,not_captured_by_repository_sources,74
3956,Visseltofta kyrka,Sweden,56.427730662,13.8564207006,https://browser.sead.se/site/3956,chronology_and_bibliography_ready,True,52,60,2,"[""dating_range"", ""dendrochronology""]",129,129,1,19,129,8912,coarse_spatial_context_only,not_captured_by_repository_sources,75
4078,Lilla Rotsunda,Sweden,59.4860246206,17.9218579973,https://browser.sead.se/site/4078,chronology_and_bibliography_ready,True,6,60,2,"[""dating_range"", ""dendrochronology""]",102,102,1,17,102,27450,coarse_spatial_context_only,not_captured_by_repository_sources,76
4544,"Myrby trask, Tunåsen",Sweden,59.89865,17.623966,https://browser.sead.se/site/4544,chronology_and_bibliography_ready,True,2,60,2,"[""analysis_entity_age"", ""relative_period""]",5,32,1,30,81,27450,coarse_spatial_context_only,not_captured_by_repository_sources,77
3862,Prästtorp,Sweden,58.4028209933,14.8474776891,https://browser.sead.se/site/3862,chronology_and_bibliography_ready,True,43,59,2,"[""dating_range"", ""dendrochronology""]",176,176,1,27,176,3815,coarse_spatial_context_only,not_captured_by_repository_sources,78
4033,Rusthållargården,Sweden,59.616572509,18.4348167539,https://browser.sead.se/site/4033,chronology_and_bibliography_ready,True,20,59,2,"[""dating_range"", ""dendrochronology""]",84,84,1,14,84,10763,coarse_spatial_context_only,not_captured_by_repository_sources,79
4061,Mellby kyrka,Sweden,57.5560526033,15.1079898518,https://browser.sead.se/site/4061,chronology_and_bibliography_ready,True,47,58,2,"[""dating_range"", ""dendrochronology""]",180,180,2,30,180,4004,coarse_spatial_context_only,not_captured_by_repository_sources,80
3886,Kvarteret Guldsmeden,Sweden,57.6675696327,14.9710674526,https://browser.sead.se/site/3886,chronology_and_bibliography_ready,True,42,57,2,"[""dating_range"", ""dendrochronology""]",138,138,2,24,138,8067,coarse_spatial_context_only,not_captured_by_repository_sources,81
4178,Etelhems kyrka,Sweden,57.337221976,18.4958931378,https://browser.sead.se/site/4178,chronology_and_bibliography_ready,True,13,57,2,"[""dating_range"", ""dendrochronology""]",126,126,1,21,126,13558,coarse_spatial_context_only,not_captured_by_repository_sources,82
4202,Bro kyrka,Sweden,57.6700592876,18.4747985406,https://browser.sead.se/site/4202,chronology_and_bibliography_ready,True,18,57,2,"[""dating_range"", ""dendrochronology""]",114,113,1,18,113,13558,coarse_spatial_context_only,not_captured_by_repository_sources,83
3953,Voxtorps kyrka,Sweden,56.5384067914,16.1426361678,https://browser.sead.se/site/3953,chronology_and_bibliography_ready,True,54,56,2,"[""dating_range"", ""dendrochronology""]",108,108,1,18,108,6159,coarse_spatial_context_only,not_captured_by_repository_sources,84
3999,Sproge gamla stavkyrka,Sweden,57.2536558517,18.2109779133,https://browser.sead.se/site/3999,chronology_and_bibliography_ready,True,52,56,2,"[""dating_range"", ""dendrochronology""]",90,90,1,15,90,13558,coarse_spatial_context_only,not_captured_by_repository_sources,85
3942,Västra Nöbbelövs kyrka,Sweden,55.435257265,13.6169241057,https://browser.sead.se/site/3942,chronology_and_bibliography_ready,True,44,56,2,"[""dating_range"", ""dendrochronology""]",90,90,1,15,90,6654,coarse_spatial_context_only,not_captured_by_repository_sources,86
4084,Kärnan,Sweden,56.0482731299,12.6975215329,https://browser.sead.se/site/4084,chronology_and_bibliography_ready,True,33,55,2,"[""dating_range"", ""dendrochronology""]",180,180,1,33,180,6333,coarse_spatial_context_only,not_captured_by_repository_sources,87
3950,Värna kyrka,Sweden,58.3139760359,15.9247175364,https://browser.sead.se/site/3950,chronology_and_bibliography_ready,True,29,55,2,"[""dating_range"", ""dendrochronology""]",115,115,1,17,115,9863,coarse_spatial_context_only,not_captured_by_repository_sources,88
4075,Linderöds kyrka,Sweden,55.9376955798,13.8238972477,https://browser.sead.se/site/4075,chronology_and_bibliography_ready,True,32,54,2,"[""dating_range"", ""dendrochronology""]",145,145,1,22,145,6654,coarse_spatial_context_only,not_captured_by_repository_sources,89
3933,Östensbo,Sweden,60.3339385481,18.0553473546,https://browser.sead.se/site/3933,chronology_and_bibliography_ready,True,20,54,2,"[""dating_range"", ""dendrochronology""]",84,84,1,14,84,3238,coarse_spatial_context_only,not_captured_by_repository_sources,90
4231,Allemora,Sweden,59.623258476,18.459772415,https://browser.sead.se/site/4231,chronology_and_bibliography_ready,True,20,54,2,"[""dating_range"", ""dendrochronology""]",78,78,1,13,78,10763,coarse_spatial_context_only,not_captured_by_repository_sources,91
4177,Fallebo gård,Sweden,57.2825301121,16.4599047102,https://browser.sead.se/site/4177,chronology_and_bibliography_ready,True,21,53,2,"[""dating_range"", ""dendrochronology""]",116,116,1,17,116,8480,coarse_spatial_context_only,not_captured_by_repository_sources,92
4004,Smedstorps slott,Sweden,55.5630381446,14.1077989281,https://browser.sead.se/site/4004,chronology_and_bibliography_ready,True,47,53,2,"[""dating_range"", ""dendrochronology""]",115,115,1,17,115,3205,coarse_spatial_context_only,not_captured_by_repository_sources,93
3940,Väversunda kyrka,Sweden,58.3465756683,14.7105073647,https://browser.sead.se/site/3940,chronology_and_bibliography_ready,True,49,53,2,"[""dating_range"", ""dendrochronology""]",84,84,1,14,84,3815,coarse_spatial_context_only,not_captured_by_repository_sources,94
3998,Steninge slott,Sweden,59.6020978067,17.8044417982,https://browser.sead.se/site/3998,chronology_and_bibliography_ready,True,18,52,2,"[""dating_range"", ""dendrochronology""]",129,129,4,20,129,27450,coarse_spatial_context_only,not_captured_by_repository_sources,95
3883,Kvarteret Kommendanten,Sweden,56.028818534,14.1550941057,https://browser.sead.se/site/3883,chronology_and_bibliography_ready,True,36,52,2,"[""dating_range"", ""dendrochronology""]",114,114,1,19,114,10817,coarse_spatial_context_only,not_captured_by_repository_sources,96
4203,Bredsätra kyrka,Sweden,56.8448438336,16.7938090021,https://browser.sead.se/site/4203,chronology_and_bibliography_ready,True,50,52,2,"[""dating_range"", ""dendrochronology""]",72,72,1,12,72,6159,coarse_spatial_context_only,not_captured_by_repository_sources,97
4044,Näs kyrka,Sweden,57.1101560368,18.2624139623,https://browser.sead.se/site/4044,chronology_and_bibliography_ready,True,19,50,2,"[""dating_range"", ""dendrochronology""]",84,84,1,14,84,13558,coarse_spatial_context_only,not_captured_by_repository_sources,98
4108,Hörsne kyrka,Sweden,57.5585118971,18.5974471903,https://browser.sead.se/site/4108,chronology_and_bibliography_ready,True,42,50,2,"[""dating_range"", ""dendrochronology""]",83,83,1,13,83,13558,coarse_spatial_context_only,not_captured_by_repository_sources,99
3969,Ulriksdals slott,Sweden,59.3882458255,18.0148647054,https://browser.sead.se/site/3969,chronology_and_bibliography_ready,True,32,50,2,"[""dating_range"", ""dendrochronology""]",78,78,1,13,78,10763,coarse_spatial_context_only,not_captured_by_repository_sources,100
4100,Kleva gård,Sweden,59.01385283,17.0847642233,https://browser.sead.se/site/4100,chronology_and_bibliography_ready,True,32,49,2,"[""dating_range"", ""dendrochronology""]",96,96,2,14,96,27450,coarse_spatial_context_only,not_captured_by_repository_sources,101
4081,Lassor,Sweden,57.9708347187,19.2317309103,https://browser.sead.se/site/4081,chronology_and_bibliography_ready,True,12,49,2,"[""dating_range"", ""dendrochronology""]",72,72,1,12,72,,coarse_spatial_context_only,not_captured_by_repository_sources,102
4109,Hörja kyrka,Sweden,56.2056145128,13.5898355804,https://browser.sead.se/site/4109,chronology_and_bibliography_ready,True,42,48,2,"[""dating_range"", ""dendrochronology""]",112,112,1,17,112,8912,coarse_spatial_context_only,not_captured_by_repository_sources,103
4207,Borgmästargården,Sweden,57.6663230944,15.8477446388,https://browser.sead.se/site/4207,chronology_and_bibliography_ready,True,12,48,2,"[""dating_range"", ""dendrochronology""]",96,96,1,14,96,4004,coarse_spatial_context_only,not_captured_by_repository_sources,104
4122,Hossmo kyrka,Sweden,56.6371820488,16.225186553,https://browser.sead.se/site/4122,chronology_and_bibliography_ready,True,44,48,2,"[""dating_range"", ""dendrochronology""]",96,96,1,16,96,6159,coarse_spatial_context_only,not_captured_by_repository_sources,105
4198,Brunsta gård,Sweden,58.780304488,16.9499694894,https://browser.sead.se/site/4198,chronology_and_bibliography_ready,True,26,48,2,"[""dating_range"", ""dendrochronology""]",95,95,3,15,95,12413,coarse_spatial_context_only,not_captured_by_repository_sources,106
