locality,locality_token,profile_name,ranking_status,total_score,evidence_density_signal,chronology_alignment_signal,species_diversity_signal,contextual_support_signal,missingness_penalty,direct_sample_count,distinct_species_count,nearby_context_points,nearby_context_layer_count,temporal_overlap_points,sampling_recommendation_ready,recommendation_posture,ranking_blockers,recommendation_blockers,warning_flags,rationale
"Kopparsvik (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:kopparsvik-gotlands-l-n-gotland:57-63-18-28,atlas_exploration,downgraded,0.6015,0.9025,0.5,0.3467,0.9026,0.165,22,1,481,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 22 direct ancient-DNA samples support 1 species at this locality anchor | 481 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.9026 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Västerbjers (Gotland, Gothem parish)",homo_sapiens:aadr:sweden:v-sterbjers-gotland-gothem-parish:57-58-18-7,atlas_exploration,downgraded,0.5995,0.9025,0.5,0.3467,0.897,0.165,15,1,385,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 385 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8970 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Kopenhagen (Zealand Region),homo_sapiens:aadr:denmark:kopenhagen-zealand-region:55-675268-12-568294,atlas_exploration,downgraded,0.5973,0.9025,0.5,0.3467,0.8908,0.165,15,1,28,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 28 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8908 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Albäcksbacken Maglarp (Southern Sweden/ Skåne),homo_sapiens:aadr:sweden:alb-cksbacken-maglarp-southern-sweden-sk-ne:55-37774-13-095066,atlas_exploration,downgraded,0.5959,0.9025,0.5,0.3467,0.8868,0.165,15,1,203,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 203 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8868 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Ansarve (Gotland County, Tofta area)",homo_sapiens:aadr:sweden:ansarve-gotland-county-tofta-area:57-509-18-14,atlas_exploration,downgraded,0.5945,0.9025,0.5,0.3467,0.8827,0.165,6,1,354,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 354 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8827 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Sandby Borg (Kalmar län, Mörbylånga)",homo_sapiens:aadr:sweden:sandby-borg-kalmar-l-n-m-rbyl-nga:56-55-16-63,atlas_exploration,downgraded,0.5935,0.9025,0.5,0.3467,0.88,0.165,7,1,367,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 367 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8800 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Kronan (Kalmar län, Mörbylånga)",homo_sapiens:aadr:sweden:kronan-kalmar-l-n-m-rbyl-nga:56-4-16-6,atlas_exploration,downgraded,0.5885,0.9025,0.5,0.3467,0.8657,0.165,12,1,197,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 12 direct ancient-DNA samples support 1 species at this locality anchor | 197 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8657 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Skongeneshelleren (Western Norway/ Sogn and Fjordane),homo_sapiens:aadr:norway:skongeneshelleren-western-norway-sogn-and-fjordane:62-02973527-5-126940543,atlas_exploration,downgraded,0.5871,0.9025,0.5,0.3467,0.8615,0.165,6,1,9,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 9 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8615 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Alken_Enge (Jutland),homo_sapiens:aadr:denmark:alken-enge-jutland:56-049-9-852,atlas_exploration,downgraded,0.5869,0.9025,0.5,0.3467,0.8609,0.165,14,1,16,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 14 direct ancient-DNA samples support 1 species at this locality anchor | 16 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8609 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Lillevasby (Zealand),homo_sapiens:aadr:denmark:lillevasby-zealand:55-6691502-12-2092259,atlas_exploration,downgraded,0.5864,0.9025,0.5,0.3467,0.8597,0.165,14,1,26,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 14 direct ancient-DNA samples support 1 species at this locality anchor | 26 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8597 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Karda (Jönköpings län, Värnamo)",homo_sapiens:aadr:sweden:karda-j-nk-pings-l-n-v-rnamo:57-18-13-93,atlas_exploration,downgraded,0.5816,0.9025,0.5,0.3467,0.8459,0.165,6,1,10,4,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 4 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8459 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Hesselbjerg (Jutland Region),homo_sapiens:aadr:denmark:hesselbjerg-jutland-region:55-95-10-2,atlas_exploration,downgraded,0.5798,0.9025,0.5,0.3467,0.8407,0.165,8,1,10,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 10 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8407 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Ahlgade 15-17 (Holbæk),homo_sapiens:aadr:denmark:ahlgade-15-17-holb-k:55-72-11-71,atlas_exploration,downgraded,0.5775,0.9025,0.5,0.3467,0.8342,0.165,25,1,17,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 25 direct ancient-DNA samples support 1 species at this locality anchor | 17 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8342 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Gökhem (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:go-khem-v-stra-g-talands-l-n-falk-ping:58-174-13-408,atlas_exploration,downgraded,0.5771,0.7358,0.5,0.3467,0.9997,0.165,4,1,32,11,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 4 direct ancient-DNA samples support 1 species at this locality anchor | 32 nearby context points across 11 context layers shape the support surface | score families: evidence=0.7358; chronology=0.5000; species=0.3467; context=0.9997 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Bakkendrup (Zealand Region),homo_sapiens:aadr:denmark:bakkendrup-zealand-region:55-56-11-25,atlas_exploration,downgraded,0.5759,0.9025,0.5,0.3467,0.8295,0.165,7,1,14,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 14 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8295 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Sigtuna, church 1 (St Gertrud)",homo_sapiens:aadr:sweden:sigtuna-church-1-st-gertrud:59-617314-17-72361,atlas_exploration,downgraded,0.574,0.9025,0.5,0.3467,0.8243,0.165,9,1,160,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 9 direct ancient-DNA samples support 1 species at this locality anchor | 160 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8243 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Kanaljorden (Östergötlands län, Motala)",homo_sapiens:aadr:sweden:kanaljorden-sterg-tlands-l-n-motala:58-535-15-046,atlas_exploration,downgraded,0.5735,0.9025,0.5,0.3467,0.8228,0.165,8,1,534,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 534 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8228 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Simonsborg (Zealand/ Alsted),homo_sapiens:aadr:denmark:simonsborg-zealand-alsted:55-40315-11-66018,atlas_exploration,downgraded,0.5712,0.9025,0.5,0.3467,0.8162,0.165,21,1,15,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 21 direct ancient-DNA samples support 1 species at this locality anchor | 15 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8162 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Karlstrup (Sjælland, Solrød)",homo_sapiens:aadr:denmark:karlstrup-sj-lland-solr-d:55-55-12-209,atlas_exploration,downgraded,0.5636,0.9025,0.5,0.3467,0.7945,0.165,6,1,11,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 11 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7945 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Henriksholm-Bøgebakken (Zealand Region, Vedbæk)",homo_sapiens:aadr:denmark:henriksholm-b-gebakken-zealand-region-vedb-k:55-853-12-559,atlas_exploration,downgraded,0.5621,0.8192,0.5,0.3467,0.8735,0.165,5,1,197,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 197 nearby context points across 3 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.8735 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Lejre (Zealand Region),homo_sapiens:aadr:denmark:lejre-zealand-region:55-6-11-95,atlas_exploration,downgraded,0.5604,0.8192,0.5,0.3467,0.8685,0.165,5,1,15,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 15 nearby context points across 3 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.8685 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Asnæs (Zealand),homo_sapiens:aadr:denmark:asn-s-zealand:55-81508-11-50296,atlas_exploration,downgraded,0.5573,0.9025,0.5,0.3467,0.7765,0.165,11,1,21,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 11 direct ancient-DNA samples support 1 species at this locality anchor | 21 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7765 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Galgedil (Funen Region),homo_sapiens:aadr:denmark:galgedil-funen-region:55-5-10-33,atlas_exploration,downgraded,0.5551,0.9025,0.5,0.3467,0.7702,0.165,16,1,6,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 16 direct ancient-DNA samples support 1 species at this locality anchor | 6 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7702 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Mosede Fort (Zealand),homo_sapiens:aadr:denmark:mosede-fort-zealand:55-5644395-12-2745516,atlas_exploration,downgraded,0.552,0.9025,0.5,0.3467,0.7613,0.165,12,1,16,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 12 direct ancient-DNA samples support 1 species at this locality anchor | 16 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7613 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Hindby mosse (Skåne län, Malmö)",homo_sapiens:aadr:sweden:hindby-mosse-sk-ne-l-n-malm:55-565-13-036,atlas_exploration,downgraded,0.5469,0.6525,0.5,0.3467,0.9967,0.165,3,1,506,4,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 3 direct ancient-DNA samples support 1 species at this locality anchor | 506 nearby context points across 4 context layers shape the support surface | score families: evidence=0.6525; chronology=0.5000; species=0.3467; context=0.9967 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Vasterhus (Jämtlands län, Östersund)",homo_sapiens:aadr:sweden:vasterhus-j-mtlands-l-n-stersund:63-2-14-5,atlas_exploration,downgraded,0.5466,0.9025,1.0,0.3467,0.7172,0.255,7,1,35,1,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 1 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7172 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
Lundbjerggård (Zealand/ Region Hovedstaden),homo_sapiens:aadr:denmark:lundbjergg-rd-zealand-region-hovedstaden:55-6272-12-1338,atlas_exploration,downgraded,0.543,0.8192,0.5,0.3467,0.819,0.165,5,1,15,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 15 nearby context points across 3 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.8190 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Vindinge Vest I&II (Zealand/ Region Hovedstaden),homo_sapiens:aadr:denmark:vindinge-vest-i-ii-zealand-region-hovedstaden:55-624-12-1303,atlas_exploration,downgraded,0.5419,0.8192,0.5,0.3467,0.8157,0.165,5,1,15,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 5 direct ancient-DNA samples support 1 species at this locality anchor | 15 nearby context points across 3 context layers shape the support surface | score families: evidence=0.8192; chronology=0.5000; species=0.3467; context=0.8157 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
Bogøvej (Langelands Sønder),homo_sapiens:aadr:denmark:bog-vej-langelands-s-nder:54-8711699-10-703644,atlas_exploration,downgraded,0.5402,0.9025,0.5,0.3467,0.7276,0.165,9,1,8,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 9 direct ancient-DNA samples support 1 species at this locality anchor | 8 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.7276 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Olljso (Skåne län, Kristianstad)",homo_sapiens:aadr:sweden:olljso-sk-ne-l-n-kristianstad:56-014689-14-068039,atlas_exploration,downgraded,0.5402,0.6525,0.5,0.3467,0.9775,0.165,3,1,824,5,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 3 direct ancient-DNA samples support 1 species at this locality anchor | 824 nearby context points across 5 context layers shape the support surface | score families: evidence=0.6525; chronology=0.5000; species=0.3467; context=0.9775 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
