species_latin_name,project_accession,source_family,archive_status,evidence_strength,accession_scope,project_url,primary_paper_doi,primary_paper_url,source_bundle_path,paper_download_status,supplement_download_status,ingestion_status
Equus asinus,PRJEB43564,ENA,comparator_only,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB43564&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB43564/bundle_manifest.json,missing,missing,blocked
Equus asinus,PRJEB50952,ENA,comparator_only,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB50952&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB50952/bundle_manifest.json,missing,missing,blocked
Equus asinus,PRJEB52590,ENA,comparator_only,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52590&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB52590/bundle_manifest.json,missing,missing,blocked
Equus asinus,PRJEB52849,ENA,comparator_only,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52849&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB52849/bundle_manifest.json,missing,missing,blocked
Equus asinus,PRJEB55549,ENA,reject_or_out_of_scope,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB55549&result=analysis&fields=study_accession,sample_accession,experiment_accession,analysis_accession,analysis_type,tax_id,scientific_name,submitted_ftp,bam_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB55549/bundle_manifest.json,missing,missing,blocked
Equus caballus,PRJEB10854,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB10854&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB10854/bundle_manifest.json,missing,missing,blocked
Equus caballus,PRJEB19970,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB19970&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,data/adna/source_library/projects/PRJEB19970/bundle_manifest.json,archived,missing,paper_source_archived
Equus caballus,PRJEB22390,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB22390&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1126/science.aao3297,https://doi.org/10.1126/science.aao3297,data/adna/source_library/projects/PRJEB22390/bundle_manifest.json,archived,missing,paper_source_archived
Equus caballus,PRJEB31613,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB31613&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,data/adna/source_library/projects/PRJEB31613/bundle_manifest.json,archived,missing,paper_source_archived
Equus caballus,PRJEB44430,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB44430&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1038/s41586-021-04018-9,https://doi.org/10.1038/s41586-021-04018-9,data/adna/source_library/projects/PRJEB44430/bundle_manifest.json,archived,missing,paper_source_archived
Equus caballus,PRJEB56293,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB56293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB56293/bundle_manifest.json,missing,missing,blocked
Equus caballus,PRJEB7537,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB7537&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB7537/bundle_manifest.json,missing,missing,blocked
Equus caballus,PRJEB9799,ENA,reject_or_out_of_scope,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB9799&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB9799/bundle_manifest.json,missing,missing,blocked
Felis catus,PRJEB81815,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81815&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,data/adna/source_library/projects/PRJEB81815/bundle_manifest.json,archived,missing,paper_source_archived
Felis catus,PRJNA1178732,BioProject,paper_pinned_core,primary_paper_pinned,project,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1178732,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,data/adna/source_library/projects/PRJNA1178732/bundle_manifest.json,archived,missing,paper_source_archived
Ovis aries,PRJEB36540,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB36540&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/source_library/projects/PRJEB36540/bundle_manifest.json,archived,archived,paper_and_supplement_archived
Ovis aries,PRJEB41594,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB41594&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1038/s41562-021-01083-y,https://doi.org/10.1038/s41562-021-01083-y,data/adna/source_library/projects/PRJEB41594/bundle_manifest.json,archived,missing,paper_source_archived
Ovis aries,PRJEB59481,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB59481&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1093/gbe/evae114,https://doi.org/10.1093/gbe/evae114,data/adna/source_library/projects/PRJEB59481/bundle_manifest.json,archived,missing,paper_source_archived
Ovis aries,PRJEB61808,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61808&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB61808/bundle_manifest.json,missing,missing,blocked
Ovis aries,PRJEB69690,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB69690&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB69690/bundle_manifest.json,missing,missing,blocked
Ovis aries,PRJEB81145,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB81145&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB81145/bundle_manifest.json,missing,missing,blocked
Rangifer tarandus,PRJEB57293,ENA,reject_or_out_of_scope,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB57293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB57293/bundle_manifest.json,missing,missing,blocked
Rangifer tarandus,PRJEB60484,ENA,comparator_only,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB60484&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,data/adna/source_library/projects/PRJEB60484/bundle_manifest.json,archived,missing,paper_source_archived
Rangifer tarandus,PRJEB61721,ENA,reject_or_out_of_scope,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61721&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJEB61721/bundle_manifest.json,missing,missing,blocked
Rangifer tarandus,PRJNA634908,BioProject,reject_or_out_of_scope,archive_only,project,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA634908,,,data/adna/source_library/projects/PRJNA634908/bundle_manifest.json,missing,missing,blocked
Sus scrofa domesticus,PRJEB30282,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB30282&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,data/adna/source_library/projects/PRJEB30282/bundle_manifest.json,archived,missing,paper_source_archived
Sus scrofa domesticus,PRJNA421430,ENA,reject_or_out_of_scope,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA421430&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJNA421430/bundle_manifest.json,missing,missing,blocked
Sus scrofa domesticus,PRJNA788987,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA788987&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJNA788987/bundle_manifest.json,missing,missing,blocked
Sus scrofa domesticus,PRJNA878488,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA878488&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJNA878488/bundle_manifest.json,missing,missing,blocked
